Solar_data
Time,G_Gh,G_Dh,G_Bn,Ta,hs,FF,Az
2012-06-01 06:00:00,109,82,153,14.4,10.2,2.3,-100.3
2012-06-01 06:15:00,167,47,560,14.6,12.3,2.3,-97.48
2012-06-01 06:30:00,186,74,452,14.8,14.5,2.4,-94.64
2012-06-01 06:45:00,137,111,85,15.0,16.7,2.0,-91.74
2012-06-01 07:00:00,302,167,415,15.2,19.0,1.5,-88.8
2012-06-01 07:15:00,373,92,775,15.5,21.3,1.0,-85.78
2012-06-01 07:30:00,333,126,519,15.7,23.5,0.5,-82.67
2012-06-01 07:45:00,346,141,468,16.0,25.9,0.5,-79.47
2012-06-01 08:00:00,441,158,601,16.3,28.2,0.5,-76.14
2012-06-01 08:15:00,480,74,800,16.6,30.5,0.5,-72.67
2012-06-01 08:30:00,465,131,619,16.9,32.8,0.5,-69.03
2012-06-01 08:45:00,575,139,759,17.2,35.1,0.5,-65.21
2012-06-01 09:00:00,644,196,740,17.5,37.3,0.6,-61.17
2012-06-01 09:15:00,602,126,747,18.1,39.6,0.6,-56.89
2012-06-01 09:30:00,687,103,877,18.2,41.8,0.7,-52.33
2012-06-01 09:45:00,616,195,607,18.4,44.0,0.8,-47.48
2012-06-01 10:00:00,726,175,766,18.6,46.1,0.9,-42.3
2012-06-01 10:15:00,410,237,231,18.6,48.1,1.1,-36.78
2012-06-01 10:30:00,861,155,922,18.9,50.0,1.2,-30.92
2012-06-01 10:45:00,843,107,936,19.6,51.8,1.0,-24.73
2012-06-01 11:00:00,763,191,712,19.8,53.6,0.9,-18.23
2012-06-01 11:15:00,761,189,699,19.2,55.1,0.7,-11.5
2012-06-01 11:30:00,242,236,7,18.7,56.5,0.5,-4.6
2012-06-01 11:45:00,288,278,12,18.0,57.7,0.5,2.37
2012-06-01 12:00:00,365,345,23,18.4,58.6,0.5,9.31
2012-06-01 12:15:00,331,307,28,19.2,59.4,0.6,16.11
2012-06-01 12:30:00,611,282,380,19.6,59.8,0.6,22.69
2012-06-01 12:45:00,435,393,49,19.7,60.0,0.9,28.99
2012-06-01 13:00:00,480,406,85,19.5,59.9,1.1,34.96
2012-06-01 13:15:00,528,211,368,19.1,59.6,1.4,40.59
2012-06-01 13:30:00,542,361,211,19.4,58.9,1.7,45.88
2012-06-01 13:45:00,349,330,22,19.5,58.1,1.5,50.84
2012-06-01 14:00:00,387,326,74,18.9,56.9,1.3,55.49
2012-06-01 14:15:00,448,385,76,18.9,55.6,1.1,59.86
2012-06-01 14:30:00,530,366,202,19.5,54.1,0.9,63.97
2012-06-01 14:45:00,428,326,128,19.5,52.5,0.9,67.86
2012-06-01 15:00:00,203,201,2,19.1,50.7,0.9,71.56
2012-06-01 15:15:00,262,254,10,18.6,48.8,0.8,75.08
2012-06-01 15:30:00,334,278,76,18.9,46.8,0.8,78.45
2012-06-01 15:45:00,306,260,65,19.2,44.7,1.0,81.7
2012-06-01 16:00:00,672,114,824,19.4,42.6,1.2,84.83
2012-06-01 16:15:00,634,129,780,19.7,40.4,1.4,87.88
2012-06-01 16:30:00,291,176,181,19.3,38.1,1.6,90.85
2012-06-01 16:45:00,147,146,0,18.8,35.9,1.6,93.76
2012-06-01 17:00:00,114,114,0,18.7,33.6,1.5,96.62
2012-06-01 17:15:00,136,135,0,18.6,31.3,1.5,99.44
2012-06-01 17:30:00,260,200,126,18.5,29.0,1.4,102.24
2012-06-01 17:45:00,352,156,442,18.4,26.7,1.5,105.03
2012-06-01 18:00:00,258,152,250,18.3,24.4,1.6,107.8
2012-06-01 18:15:00,163,150,34,18.2,22.1,1.8,110.58
2012-06-01 18:30:00,195,143,153,18.1,19.8,1.9,113.37
2012-06-01 18:45:00,159,115,153,18.0,17.5,2.7,116.17
2012-06-01 19:00:00,221,56,626,17.8,15.3,3.5,119.0
2012-06-01 19:15:00,185,126,261,17.7,13.1,4.4,121.85
2012-06-01 19:30:00,92,66,128,17.5,10.9,5.2,124.74
2012-06-01 19:45:00,37,37,0,17.4,8.8,4.7,127.67
2012-06-01 20:00:00,32,31,1,17.2,6.7,4.0,130.65
2012-06-01 20:15:00,15,15,0,17.0,4.7,3.4,133.67
2012-06-01 20:30:00,6,6,0,16.8,2.7,2.7,136.75
2012-06-01 20:45:00,1,1,0,16.7,0.8,2.5,139.88
2012-06-01 21:00:00,0,0,0,16.4,-1.0,2.3,143.07
2012-06-01 21:15:00,0,0,0,16.2,-2.8,2.1,146.31
2012-06-01 21:30:00,0,0,0,15.9,-4.5,1.9,149.61
2012-06-01 21:45:00,0,0,0,15.7,-6.0,1.6,152.96
2012-06-01 22:00:00,0,0,0,15.6,-7.5,1.3,156.37
2012-06-01 22:15:00,0,0,0,15.4,-8.9,0.9,159.82
2012-06-01 22:30:00,0,0,0,15.2,-10.2,0.6,163.32
2012-06-01 22:45:00,0,0,0,15.0,-11.4,0.5,166.85
2012-06-01 23:00:00,0,0,0,14.8,-12.4,0.4,170.41
2012-06-01 23:15:00,0,0,0,14.6,-13.4,0.2,174.0
2012-06-01 23:30:00,0,0,0,14.4,-14.2,0.1,177.6
2012-06-01 23:45:00,0,0,0,14.2,-14.8,0.1,-178.79
2012-06-02 00:00:00,0,0,0,14.2,-15.4,0.1,-175.19
2012-06-02 00:15:00,0,0,0,14.1,-15.6,0.2,-171.59
2012-06-02 00:30:00,0,0,0,14.0,-15.9,0.2,-168.02
2012-06-02 00:45:00,0,0,0,13.9,-16.0,0.2,-164.48
2012-06-02 01:00:00,0,0,0,13.8,-15.9,0.2,-160.97
2012-06-02 01:15:00,0,0,0,13.7,-15.7,0.3,-157.5
2012-06-02 01:30:00,0,0,0,13.6,-15.4,0.3,-154.08
2012-06-02 01:45:00,0,0,0,13.6,-14.9,0.5,-150.72
2012-06-02 02:00:00,0,0,0,13.5,-14.3,0.7,-147.4
2012-06-02 02:15:00,0,0,0,13.5,-13.6,1.0,-144.14
2012-06-02 02:30:00,0,0,0,13.4,-12.7,1.2,-140.94
2012-06-02 02:45:00,0,0,0,13.3,-11.7,1.1,-137.79
2012-06-02 03:00:00,0,0,0,13.3,-10.5,1.1,-134.7
2012-06-02 03:15:00,0,0,0,13.3,-9.3,1.0,-131.66
2012-06-02 03:30:00,0,0,0,13.2,-7.9,0.9,-128.67
2012-06-02 03:45:00,0,0,0,13.2,-6.5,1.1,-125.73
2012-06-02 04:00:00,0,0,0,13.2,-4.9,1.2,-122.83
2012-06-02 04:15:00,0,0,0,13.2,-3.3,1.4,-119.96
2012-06-02 04:30:00,0,0,0,13.2,-1.6,1.6,-117.13
2012-06-02 04:45:00,1,1,0,13.2,0.3,1.8,-114.32
2012-06-02 05:00:00,7,7,0,13.4,2.1,2.0,-111.53
2012-06-02 05:15:00,29,20,128,13.5,4.1,2.2,-108.75
2012-06-02 05:30:00,43,29,121,13.7,6.1,2.4,-105.98
2012-06-02 05:45:00,99,55,311,13.8,8.1,2.7,-103.21
2012-06-02 06:00:00,143,99,248,14.0,10.2,2.9,-100.42
2012-06-02 06:15:00,156,53,484,14.2,12.4,3.2,-97.6
2012-06-02 06:30:00,140,87,216,14.4,14.6,3.5,-94.76
2012-06-02 06:45:00,234,89,499,14.6,16.8,2.9,-91.87
2012-06-02 07:00:00,245,101,442,14.8,19.1,2.3,-88.93
2012-06-02 07:15:00,282,101,492,15.0,21.3,1.7,-85.91
2012-06-02 07:30:00,353,68,711,15.2,23.6,1.0,-82.81
2012-06-02 07:45:00,410,80,755,15.5,25.9,0.8,-79.6
2012-06-02 08:00:00,293,199,197,15.8,28.2,0.7,-76.28
