Solar_data
Time,G_Gh,G_Dh,G_Bn,Ta,hs,FF,Az
2012-06-21 00:00:00,0.0,0.0,0.0,25.0,-80.0,2.0,-180.0
2012-06-21 00:15:00,0.0,0.0,0.0,25.0,-80.25,2.0,-179.75
2012-06-21 00:30:00,0.0,0.0,0.0,25.0,-80.5,2.0,-179.5
2012-06-21 00:45:00,0.0,0.0,0.0,25.0,-80.75,2.0,-179.25
2012-06-21 01:00:00,0.0,0.0,0.0,25.0,-81.0,2.0,-179.0
2012-06-21 01:15:00,0.0,0.0,0.0,25.0,-81.25,2.0,-178.75
2012-06-21 01:30:00,0.0,0.0,0.0,25.0,-81.5,2.0,-178.5
2012-06-21 01:45:00,0.0,0.0,0.0,25.0,-81.75,2.0,-178.25
2012-06-21 02:00:00,0.0,0.0,0.0,25.0,-82.0,2.0,-178.0
2012-06-21 02:15:00,0.0,0.0,0.0,25.0,-82.25,2.0,-177.75
2012-06-21 02:30:00,0.0,0.0,0.0,25.0,-82.5,2.0,-177.5
2012-06-21 02:45:00,0.0,0.0,0.0,25.0,-82.75,2.0,-177.25
2012-06-21 03:00:00,0.0,0.0,0.0,25.0,-83.0,2.0,-177.0
2012-06-21 03:15:00,0.0,0.0,0.0,25.0,-83.25,2.0,-176.75
2012-06-21 03:30:00,0.0,0.0,0.0,25.0,-83.5,2.0,-176.5
2012-06-21 03:45:00,0.0,0.0,0.0,25.0,-83.75,2.0,-176.25
2012-06-21 04:00:00,0.0,0.0,0.0,25.0,-84.0,2.0,-176.0
2012-06-21 04:15:00,0.0,0.0,0.0,25.0,-84.25,2.0,-175.75
2012-06-21 04:30:00,0.0,0.0,0.0,25.0,-84.5,2.0,-175.5
2012-06-21 04:45:00,0.0,0.0,0.0,25.0,-84.75,2.0,-175.25
2012-06-21 05:00:00,0.0,0.0,0.0,25.0,-85.0,2.0,-175.0
2012-06-21 05:15:00,0.0,0.0,0.0,25.0,-85.25,2.0,-174.75
2012-06-21 05:30:00,0.0,0.0,0.0,25.0,-85.5,2.0,-174.5
2012-06-21 05:45:00,0.0,0.0,0.0,25.0,-85.75,2.0,-174.25
2012-06-21 06:00:00,56.13,11.23,44.91,25.0,-70.0,2.0,-90.0
2012-06-21 06:15:00,71.01,14.2,56.8,25.0,-69.4,2.0,-86.25
2012-06-21 06:30:00,88.92,17.78,71.14,25.0,-67.61,2.0,-82.5
2012-06-21 06:45:00,110.25,22.05,88.2,25.0,-64.67,2.0,-78.75
2012-06-21 07:00:00,135.34,27.07,108.27,25.0,-60.62,2.0,-75.0
2012-06-21 07:15:00,164.47,32.89,131.58,25.0,-55.53,2.0,-71.25
2012-06-21 07:30:00,197.9,39.58,158.32,25.0,-49.5,2.0,-67.5
2012-06-21 07:45:00,235.75,47.15,188.6,25.0,-42.61,2.0,-63.75
2012-06-21 08:00:00,278.04,55.61,222.43,25.0,-35.0,2.0,-60.0
2012-06-21 08:15:00,324.65,64.93,259.72,25.0,-26.79,2.0,-56.25
2012-06-21 08:30:00,375.31,75.06,300.25,25.0,-18.12,2.0,-52.5
2012-06-21 08:45:00,429.56,85.91,343.65,25.0,-9.14,2.0,-48.75
2012-06-21 09:00:00,486.75,97.35,389.4,25.0,0.0,2.0,-45.0
2012-06-21 09:15:00,546.07,109.21,436.86,25.0,9.14,2.0,-41.25
2012-06-21 09:30:00,606.53,121.31,485.22,25.0,18.12,2.0,-37.5
2012-06-21 09:45:00,666.98,133.4,533.58,25.0,26.79,2.0,-33.75
2012-06-21 10:00:00,726.15,145.23,580.92,25.0,35.0,2.0,-30.0
2012-06-21 10:15:00,782.7,156.54,626.16,25.0,42.61,2.0,-26.25
2012-06-21 10:30:00,835.27,167.05,668.22,25.0,49.5,2.0,-22.5
2012-06-21 10:45:00,882.5,176.5,706.0,25.0,55.53,2.0,-18.75
2012-06-21 11:00:00,923.12,184.62,738.49,25.0,60.62,2.0,-15.0
2012-06-21 11:15:00,956.0,191.2,764.8,25.0,64.67,2.0,-11.25
2012-06-21 11:30:00,980.2,196.04,784.16,25.0,67.61,2.0,-7.5
2012-06-21 11:45:00,995.01,199.0,796.01,25.0,69.4,2.0,-3.75
2012-06-21 12:00:00,1000.0,200.0,800.0,25.0,70.0,2.0,0.0
2012-06-21 12:15:00,995.01,199.0,796.01,25.0,69.4,2.0,3.75
2012-06-21 12:30:00,980.2,196.04,784.16,25.0,67.61,2.0,7.5
2012-06-21 12:45:00,956.0,191.2,764.8,25.0,64.67,2.0,11.25
2012-06-21 13:00:00,923.12,184.62,738.49,25.0,60.62,2.0,15.0
2012-06-21 13:15:00,882.5,176.5,706.0,25.0,55.53,2.0,18.75
2012-06-21 13:30:00,835.27,167.05,668.22,25.0,49.5,2.0,22.5
2012-06-21 13:45:00,782.7,156.54,626.16,25.0,42.61,2.0,26.25
2012-06-21 14:00:00,726.15,145.23,580.92,25.0,35.0,2.0,30.0
2012-06-21 14:15:00,666.98,133.4,533.58,25.0,26.79,2.0,33.75
2012-06-21 14:30:00,606.53,121.31,485.22,25.0,18.12,2.0,37.5
2012-06-21 14:45:00,546.07,109.21,436.86,25.0,9.14,2.0,41.25
2012-06-21 15:00:00,486.75,97.35,389.4,25.0,0.0,2.0,45.0
2012-06-21 15:15:00,429.56,85.91,343.65,25.0,-9.14,2.0,48.75
2012-06-21 15:30:00,375.31,75.06,300.25,25.0,-18.12,2.0,52.5
