Demand_data
Time,demand
2025-04-21 00:00:00,0.06
2025-04-21 00:15:00,0.05
2025-04-21 00:30:00,0.03
2025-04-21 00:45:00,0.08
2025-04-21 01:00:00,0.03
2025-04-21 01:15:00,0.13
2025-04-21 01:30:00,0.07
2025-04-21 01:45:00,0.0
2025-04-21 02:00:00,0.15
2025-04-21 02:15:00,0.03
2025-04-21 02:30:00,0.04
2025-04-21 02:45:00,0.03
2025-04-21 03:00:00,0.03
2025-04-21 03:15:00,0.11
2025-04-21 03:30:00,0.04
2025-04-21 03:45:00,0.11
2025-04-21 04:00:00,0.06
2025-04-21 04:15:00,0.08
2025-04-21 04:30:00,0.0
2025-04-21 04:45:00,0.02
2025-04-21 05:00:00,0.06
2025-04-21 05:15:00,0.16
2025-04-21 05:30:00,0.58
2025-04-21 05:45:00,0.72
2025-04-21 06:00:00,1.08
2025-04-21 06:15:00,0.91
2025-04-21 06:30:00,0.85
2025-04-21 06:45:00,0.54
2025-04-21 07:00:00,0.94
2025-04-21 07:15:00,1.31
2025-04-21 07:30:00,1.19
2025-04-21 07:45:00,0.71
2025-04-21 08:00:00,0.75
2025-04-21 08:15:00,0.93
2025-04-21 08:30:00,0.82
2025-04-21 08:45:00,0.8
2025-04-21 09:00:00,1.14
2025-04-21 09:15:00,1.1
2025-04-21 09:30:00,0.51
2025-04-21 09:45:00,0.81
2025-04-21 10:00:00,1.55
2025-04-21 10:15:00,0.94
2025-04-21 10:30:00,1.46
2025-04-21 10:45:00,1.3
2025-04-21 11:00:00,2.19
2025-04-21 11:15:00,2.04
2025-04-21 11:30:00,1.89
2025-04-21 11:45:00,1.45
2025-04-21 12:00:00,1.84
2025-04-21 12:15:00,1.84
2025-04-21 12:30:00,2.1
2025-04-21 12:45:00,1.46
2025-04-21 13:00:00,1.1
2025-04-21 13:15:00,1.59
2025-04-21 13:30:00,1.32
2025-04-21 13:45:00,1.82
2025-04-21 14:00:00,1.89
2025-04-21 14:15:00,1.74
2025-04-21 14:30:00,1.32
2025-04-21 14:45:00,2.05
2025-04-21 15:00:00,2.24
2025-04-21 15:15:00,1.62
2025-04-21 15:30:00,1.29
2025-04-21 15:45:00,2.34
2025-04-21 16:00:00,1.88
2025-04-21 16:15:00,0.17
2025-04-21 16:30:00,0.53
2025-04-21 16:45:00,0.4
2025-04-21 17:00:00,2.36
2025-04-21 17:15:00,1.63
2025-04-21 17:30:00,2.69
2025-04-21 17:45:00,1.58
2025-04-21 18:00:00,2.43
2025-04-21 18:15:00,1.52
2025-04-21 18:30:00,1.53
2025-04-21 18:45:00,1.95
2025-04-21 19:00:00,1.62
2025-04-21 19:15:00,3.06
2025-04-21 19:30:00,1.77
2025-04-21 19:45:00,1.8
2025-04-21 20:00:00,1.51
2025-04-21 20:15:00,0.26
2025-04-21 20:30:00,0.41
2025-04-21 20:45:00,0.66
2025-04-21 21:00:00,0.03
2025-04-21 21:15:00,0.07
2025-04-21 21:30:00,0.05
2025-04-21 21:45:00,0.0
2025-04-21 22:00:00,0.0
2025-04-21 22:15:00,0.03
2025-04-21 22:30:00,0.17
2025-04-21 22:45:00,0.17
2025-04-21 23:00:00,0.03
2025-04-21 23:15:00,0.41
2025-04-21 23:30:00,1.06
2025-04-21 23:45:00,0.64
2025-04-22 00:00:00,0.05
2025-04-22 00:15:00,0.09
2025-04-22 00:30:00,0.09
2025-04-22 00:45:00,0.05
2025-04-22 01:00:00,0.06
2025-04-22 01:15:00,0.0
2025-04-22 01:30:00,0.0
2025-04-22 01:45:00,0.02
2025-04-22 02:00:00,0.07
2025-04-22 02:15:00,0.06
2025-04-22 02:30:00,0.09
2025-04-22 02:45:00,0.16
2025-04-22 03:00:00,0.07
2025-04-22 03:15:00,0.04
2025-04-22 03:30:00,0.04
2025-04-22 03:45:00,0.02
2025-04-22 04:00:00,0.01
2025-04-22 04:15:00,0.11
2025-04-22 04:30:00,0.16
2025-04-22 04:45:00,0.05
2025-04-22 05:00:00,0.1
2025-04-22 05:15:00,0.73
2025-04-22 05:30:00,0.4
2025-04-22 05:45:00,0.26
2025-04-22 06:00:00,1.18
2025-04-22 06:15:00,1.39
2025-04-22 06:30:00,0.91
2025-04-22 06:45:00,0.82
2025-04-22 07:00:00,1.28
2025-04-22 07:15:00,1.06
2025-04-22 07:30:00,1.08
2025-04-22 07:45:00,1.16
2025-04-22 08:00:00,1.69
2025-04-22 08:15:00,1.25
2025-04-22 08:30:00,0.88
2025-04-22 08:45:00,0.75
2025-04-22 09:00:00,1.22
2025-04-22 09:15:00,0.82
2025-04-22 09:30:00,0.42
2025-04-22 09:45:00,0.67
2025-04-22 10:00:00,0.52
2025-04-22 10:15:00,1.65
2025-04-22 10:30:00,1.08
2025-04-22 10:45:00,1.62
2025-04-22 11:00:00,0.55
2025-04-22 11:15:00,2.11
2025-04-22 11:30:00,0.96
2025-04-22 11:45:00,1.56
2025-04-22 12:00:00,1.32
2025-04-22 12:15:00,1.19
2025-04-22 12:30:00,1.43
2025-04-22 12:45:00,1.48
2025-04-22 13:00:00,0.97
2025-04-22 13:15:00,1.71
2025-04-22 13:30:00,1.02
2025-04-22 13:45:00,1.65
2025-04-22 14:00:00,2.11
2025-04-22 14:15:00,2.06
2025-04-22 14:30:00,1.11
2025-04-22 14:45:00,1.25
2025-04-22 15:00:00,1.17
2025-04-22 15:15:00,1.85
2025-04-22 15:30:00,1.48
2025-04-22 15:45:00,1.49
2025-04-22 16:00:00,1.95
2025-04-22 16:15:00,0.31
2025-04-22 16:30:00,0.39
2025-04-22 16:45:00,0.47
2025-04-22 17:00:00,1.51
2025-04-22 17:15:00,2.06
2025-04-22 17:30:00,1.96
2025-04-22 17:45:00,2.07
2025-04-22 18:00:00,1.93
2025-04-22 18:15:00,1.43
2025-04-22 18:30:00,2.53
2025-04-22 18:45:00,2.11
2025-04-22 19:00:00,2.18
2025-04-22 19:15:00,1.76
2025-04-22 19:30:00,1.39
2025-04-22 19:45:00,1.55
2025-04-22 20:00:00,1.99
2025-04-22 20:15:00,0.43
2025-04-22 20:30:00,0.24
2025-04-22 20:45:00,0.38
2025-04-22 21:00:00,0.07
2025-04-22 21:15:00,0.0
2025-04-22 21:30:00,0.13
2025-04-22 21:45:00,0.05
2025-04-22 22:00:00,0.0
2025-04-22 22:15:00,0.11
2025-04-22 22:30:00,0.0
2025-04-22 22:45:00,0.03
2025-04-22 23:00:00,0.05
2025-04-22 23:15:00,0.67
2025-04-22 23:30:00,0.17
2025-04-22 23:45:00,0.59
2025-04-23 00:00:00,0.15
2025-04-23 00:15:00,0.13
2025-04-23 00:30:00,0.0
2025-04-23 00:45:00,0.02
2025-04-23 01:00:00,0.05
