generation,solution,fitness
1,[111.2492571882006],[11124.92571882006]
1,[189.60963079701963],[189.60963079701963]
1,[149.33106596073964],[149.33106596073964]
2,[131.2492571882006],[131.2492571882006]
2,[169.60963079701963],[169.60963079701963]
2,[145.09981091090108],[145.09981091090108]
3,[131.2492571882006],[131.2492571882006]
3,[149.60963079701963],[149.60963079701963]
3,[140.17852451960803],[140.17852451960803]
4,[131.2492571882006],[131.2492571882006]
4,[129.60963079701963],[129.60963079701963]
4,[126.77225600684174],[126.77225600684174]
5,[131.2492571882006],[131.2492571882006]
5,[129.60963079701963],[129.60963079701963]
5,[126.77225600684174],[126.77225600684174]
6,[128.35373080250528],[128.35373080250528]
6,[129.60963079701963],[129.60963079701963]
6,[126.77225600684174],[126.77225600684174]
7,[128.35373080250528],[128.35373080250528]
7,[129.60963079701963],[129.60963079701963]
7,[126.77225600684174],[126.77225600684174]
8,[128.35373080250528],[128.35373080250528]
8,[129.60963079701963],[129.60963079701963]
8,[126.77225600684174],[126.77225600684174]
9,[128.35373080250528],[128.35373080250528]
9,[127.82992827963318],[127.82992827963318]
9,[126.77225600684174],[126.77225600684174]
10,[127.44435485491138],[127.44435485491138]
10,[127.82992827963318],[127.82992827963318]
10,[119.53602838512167],[119.53602838512167]
