date,H2demand-0.time-based_0-tot_dem,CSVprod-0.time-based_0-production,H2_controller-0.time-based_0-dump,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-soc
2025-04-21,0.06,0.75,0.69,0.06,50.0
2025-04-21 00:15:00,0.05,0.74,0,0.05,50.57983193277311
2025-04-21 00:30:00,0.03,0.74,0,0.03,51.1764705882353
2025-04-21 00:45:00,0.08,0.77,0,0.08,51.75630252100841
2025-04-21 01:00:00,0.03,0.76,0,0.03,52.36974789915967
2025-04-21 01:15:00,0.13,0.73,0,0.13,52.87394957983194
2025-04-21 01:30:00,0.07,0.76,0,0.07,53.45378151260505
2025-04-21 01:45:00,0.0,0.73,0,0.0,54.06722689075631
2025-04-21 02:00:00,0.15,0.71,0,0.15,54.537815126050425
2025-04-21 02:15:00,0.03,0.77,0,0.03,55.15966386554622
2025-04-21 02:30:00,0.04,0.74,0,0.04,55.747899159663866
2025-04-21 02:45:00,0.03,0.72,0,0.03,56.32773109243698
2025-04-21 03:00:00,0.03,0.74,0,0.03,56.92436974789916
2025-04-21 03:15:00,0.11,0.72,0,0.11,57.43697478991597
2025-04-21 03:30:00,0.04,0.76,0,0.04,58.04201680672269
2025-04-21 03:45:00,0.11,0.75,0,0.11,58.57983193277311
2025-04-21 04:00:00,0.06,0.73,0,0.06,59.142857142857146
2025-04-21 04:15:00,0.08,0.72,0,0.08,59.680672268907564
2025-04-21 04:30:00,0.0,0.73,0,0.0,60.294117647058826
2025-04-21 04:45:00,0.02,0.75,0,0.02,60.90756302521009
2025-04-21 05:00:00,0.06,0.73,0,0.06,61.47058823529412
2025-04-21 05:15:00,0.16,0.76,0,0.16,61.97478991596639
2025-04-21 05:30:00,0.58,0.77,0,0.58,62.13445378151261
2025-04-21 05:45:00,0.72,0.77,0,0.72,62.176470588235304
2025-04-21 06:00:00,1.08,0.83,0,1.08,61.966386554621856
2025-04-21 06:15:00,0.91,0.84,0,0.91,61.90756302521009
2025-04-21 06:30:00,0.85,0.85,0,0.85,61.90756302521009
2025-04-21 06:45:00,0.54,0.8,0,0.54,62.12605042016807
2025-04-21 07:00:00,0.94,0.83,0,0.94,62.03361344537815
2025-04-21 07:15:00,1.31,0.86,0,1.31,61.65546218487395
2025-04-21 07:30:00,1.19,0.85,0,1.19,61.36974789915966
2025-04-21 07:45:00,0.71,0.81,0,0.71,61.45378151260504
2025-04-21 08:00:00,0.75,0.8,0,0.75,61.49579831932773
2025-04-21 08:15:00,0.93,0.81,0,0.93,61.39495798319328
2025-04-21 08:30:00,0.82,0.81,0,0.82,61.386554621848745
2025-04-21 08:45:00,0.8,0.84,0,0.8,61.420168067226896
2025-04-21 09:00:00,1.14,0.76,0,1.14,61.10084033613446
2025-04-21 09:15:00,1.1,0.75,0,1.1,60.806722689075634
2025-04-21 09:30:00,0.51,0.77,0,0.51,61.02521008403362
2025-04-21 09:45:00,0.81,0.77,0,0.81,60.991596638655466
2025-04-21 10:00:00,1.55,0.85,0,1.55,60.40336134453782
2025-04-21 10:15:00,0.94,0.83,0,0.94,60.3109243697479
2025-04-21 10:30:00,1.46,0.84,0,1.46,59.78991596638656
2025-04-21 10:45:00,1.3,0.85,0,1.3,59.411764705882355
2025-04-21 11:00:00,2.19,0.85,0,2.19,58.285714285714285
2025-04-21 11:15:00,2.04,0.85,0,2.04,57.285714285714285
2025-04-21 11:30:00,1.89,0.84,0,1.89,56.403361344537814
2025-04-21 11:45:00,1.45,0.83,0,1.45,55.88235294117647
2025-04-21 12:00:00,1.84,0.86,0,1.84,55.05882352941177
2025-04-21 12:15:00,1.84,0.89,0,1.84,54.260504201680675
