Generation,Population index,Buffer size,Total dump,SoC Violations
0,0,17846.836178697813,80.0,441
0,1,29372.330750802008,80.0,315
0,2,2004.3462430591057,80.0,618
0,3,13488.637760009911,80.0,494
0,4,7576.723851050296,80.0,560
0,5,5508.866601214317,80.0,593
0,6,9077.888032351493,80.0,543
0,7,15131.307627635815,80.0,474
0,8,17077.164020765456,80.0,447
0,9,22475.035892127566,80.0,395
1,0,2000.1685322450608,80.0,618
1,1,2946.4168898182857,80.0,616
1,2,27847.96097086713,80.0,337
1,3,12361.427733587187,80.0,505
1,4,9047.552151985872,80.0,545
1,5,26511.251627476187,80.0,353
1,6,19175.7204222122,80.0,428
1,7,2352.4351838600214,80.0,617
1,8,21966.43890715522,80.0,398
1,9,13690.192406157663,80.0,492
2,0,28403.482037217636,80.0,331
2,1,2000.052850420392,80.0,618
2,2,22063.651401685336,80.0,397
2,3,2256.403390810221,80.0,617
2,4,22447.511969450123,80.0,395
2,5,3333.411884067132,80.0,615
2,6,26893.81530772587,80.0,345
2,7,29399.854673456186,80.0,315
2,8,2048.352558802231,80.0,618
2,9,3069.0442426752256,80.0,618
3,0,19293.977752155108,80.0,422
3,1,5239.546145581969,80.0,599
3,2,15013.050297692906,80.0,476
3,3,27305.051328727575,80.0,341
3,4,5229.128414832771,80.0,599
3,5,30648.798020445585,80.0,300
3,6,12923.70854341039,80.0,497
3,7,15411.143831634425,80.0,470
3,8,2108.9129985222517,80.0,618
3,9,2032.632849126262,80.0,617
4,0,32118.0693460118,80.0,277
4,1,6741.881060861863,80.0,574
4,2,30722.92583454783,80.0,300
4,3,18032.98301269362,80.0,438
4,4,7139.848709693116,80.0,567
4,5,25030.612510710824,80.0,369
4,6,2605.64080676286,80.0,614
4,7,2066.538055440399,80.0,618
4,8,26729.77330718775,80.0,347
4,9,31850.4255193567,80.0,280
5,0,2000.0039562156728,80.0,618
5,1,13390.55519159251,80.0,494
5,2,15083.73409720692,80.0,475
5,3,21721.41494590856,80.0,399
5,4,15890.474978121445,80.0,466
5,5,2590.824887043922,80.0,613
5,6,34787.73980993373,80.0,235
5,7,2333.229258647969,80.0,617
5,8,2000.0195686101422,80.0,618
5,9,15895.760998467344,80.0,466
6,0,14109.271463646586,80.0,486
6,1,32385.707148392798,80.0,274
6,2,35500.14570867477,80.0,207
6,3,27624.48714418747,80.0,339
6,4,29335.549020753628,80.0,316
6,5,21819.85950544305,80.0,399
6,6,35417.39838153533,80.0,208
6,7,35157.18401286684,80.0,216
6,8,2849.887724409321,80.0,616
6,9,18668.42232870902,80.0,431
7,0,35968.45137816601,80.0,201
7,1,30931.976198373624,80.0,293
7,2,8600.820805847685,80.0,550
7,3,27231.174644681174,80.0,342
7,4,2010.2095505057932,80.0,618
7,5,21601.302830372533,80.0,400
7,6,2286.8430717119363,80.0,617
7,7,27588.26686540091,80.0,339
7,8,2495.0104708232725,80.0,616
7,9,4966.3178282366935,80.0,601
8,0,36403.46442874677,80.0,190
8,1,33347.46024581193,80.0,261
8,2,2000.0014555199357,80.0,618
8,3,18257.15980432447,80.0,436
8,4,36099.57455703498,80.0,198
8,5,13714.058761788829,80.0,492
8,6,35494.84665076745,80.0,207
8,7,27090.20658268067,80.0,342
8,8,14694.766395336399,80.0,478
8,9,19445.428259455188,80.0,420
9,0,26132.727633180602,80.0,357
9,1,36414.62412939528,80.0,190
9,2,36293.16644866764,80.0,194
9,3,19257.600761300644,80.0,423
9,4,19786.092833151633,80.0,418
9,5,2760.917601099373,80.0,616
9,6,6741.651192554543,80.0,574
9,7,34851.37475729577,80.0,231
9,8,30436.079337882962,80.0,301
9,9,28336.52171946333,80.0,331
