generation,solution,fitness
1,[287.27005942368123],[113287.27005942368]
1,[575.3571532049581],[575.3571532049581]
1,[465.99697090570254],[465.99697090570254]
1,[399.3292420985183],[17399.32924209852]
1,[178.00932022121827],[216178.00932022123]
1,[177.99726016810132],[216177.9972601681]
1,[129.04180608409973],[267129.0418060841]
1,[533.0880728874677],[533.0880728874677]
1,[400.5575058716044],[16400.557505871606]
2,[434.78278853981743],[434.78278853981743]
2,[465.99697090570254],[465.99697090570254]
2,[473.5864113885181],[473.5864113885181]
2,[492.45730747394435],[492.45730747394435]
2,[521.3783710483644],[521.3783710483644]
2,[533.0880728874677],[533.0880728874677]
2,[534.0498979851678],[534.0498979851678]
2,[537.021747061543],[537.021747061543]
2,[546.5697716702123],[546.5697716702123]
3,[434.78278853981743],[434.78278853981743]
3,[435.2582533746097],[435.2582533746097]
3,[451.26179334832653],[451.26179334832653]
3,[455.9069891323668],[455.9069891323668]
3,[465.99697090570254],[465.99697090570254]
3,[473.5864113885181],[473.5864113885181]
3,[483.7048852272276],[483.7048852272276]
3,[492.45730747394435],[492.45730747394435]
3,[521.3783710483644],[521.3783710483644]
4,[434.78278853981743],[434.78278853981743]
4,[435.2433224406431],[435.2433224406431]
4,[435.2582533746097],[435.2582533746097]
4,[438.46162656019413],[438.46162656019413]
4,[443.38972699834176],[443.38972699834176]
4,[451.24372879016425],[451.24372879016425]
4,[451.26179334832653],[451.26179334832653]
4,[455.9069891323668],[455.9069891323668]
4,[455.9250536905291],[455.9250536905291]
5,[434.665210415316],[434.665210415316]
5,[434.69474346983344],[434.69474346983344]
5,[434.78278853981743],[434.78278853981743]
5,[435.2433224406431],[435.2433224406431]
5,[435.2582533746097],[435.2582533746097]
5,[435.25871078686583],[435.25871078686583]
5,[436.0173187772022],[436.0173187772022]
5,[438.46162656019413],[438.46162656019413]
5,[438.5496716301781],[438.5496716301781]
6,[434.665210415316],[434.665210415316]
6,[434.66522337360567],[434.66522337360567]
6,[434.6931785854014],[434.6931785854014]
6,[434.69474346983344],[434.69474346983344]
6,[434.78278853981743],[434.78278853981743]
6,[435.2433224406431],[435.2433224406431]
6,[435.2582533746097],[435.2582533746097]
6,[435.25871078686583],[435.25871078686583]
6,[436.0173187772022],[436.0173187772022]
7,[420.12128424929705],[420.12128424929705]
7,[433.62347506177264],[433.62347506177264]
7,[434.5776853076784],[434.5776853076784]
7,[434.665210415316],[434.665210415316]
7,[434.66522337360567],[434.66522337360567]
7,[434.6931785854014],[434.6931785854014]
7,[434.69474346983344],[434.69474346983344]
7,[434.7109328326689],[434.7109328326689]
7,[434.78278853981743],[434.78278853981743]
8,[420.03770171678036],[420.03770171678036]
8,[420.12128424929705],[420.12128424929705]
8,[420.85949985620726],[420.85949985620726]
8,[433.62347506177264],[433.62347506177264]
8,[433.83946970076823],[433.83946970076823]
8,[434.5776853076784],[434.5776853076784]
8,[434.6652099351453],[434.6652099351453]
8,[434.665210415316],[434.665210415316]
8,[434.66522337360567],[434.66522337360567]
9,[420.03770171678036],[420.03770171678036]
9,[420.12128424929705],[420.12128424929705]
9,[420.85949985620726],[420.85949985620726]
9,[420.88015544471347],[420.88015544471347]
9,[420.9893673397802],[420.9893673397802]
9,[433.4609794871805],[433.4609794871805]
9,[433.62347506177264],[433.62347506177264]
9,[433.83946970076823],[433.83946970076823]
9,[434.5776853076784],[434.5776853076784]
10,[420.0304175275296],[420.0304175275296]
10,[420.03770171678036],[420.03770171678036]
10,[420.0447356465496],[420.0447356465496]
10,[420.12128424929705],[420.12128424929705]
10,[420.1434695338954],[420.1434695338954]
10,[420.85949985620726],[420.85949985620726]
10,[420.88015544471347],[420.88015544471347]
10,[420.9893673397802],[420.9893673397802]
10,[424.12222077251437],[424.12222077251437]
11,[420.02923904048106],[420.02923904048106]
11,[420.0304175275296],[420.0304175275296]
11,[420.03770171678036],[420.03770171678036]
11,[420.0447356465496],[420.0447356465496]
11,[420.12128424929705],[420.12128424929705]
11,[420.1427643227611],[420.1427643227611]
11,[420.1434695338954],[420.1434695338954]
11,[420.85949985620726],[420.85949985620726]
11,[420.88015544471347],[420.88015544471347]
12,[420.02923904048106],[420.02923904048106]
12,[420.0304175275296],[420.0304175275296]
12,[420.03043948221244],[420.03043948221244]
12,[420.0370601494098],[420.0370601494098]
12,[420.03770171678036],[420.03770171678036]
12,[420.0383332556306],[420.0383332556306]
12,[420.0447356465496],[420.0447356465496]
12,[420.12128424929705],[420.12128424929705]
12,[420.1427643227611],[420.1427643227611]
