iter,grad
1,"[0.0, 120.21085329706594]"
2,"[20.851190902648113, 0.0]"
3,"[20.851190902648113, -17.181025630766698]"
4,"[1.8806046895736017, 327.32032757924384]"
5,"[19.50078790264797, 642.3130422686315]"
6,"[20.85119090264797, -1021.7892796904626]"
7,"[24.795480902647853, 582.1532433002153]"
8,"[24.374385902648044, -224.45863036713604]"
9,"[24.795480902648137, 534.5996249934167]"
10,"[24.795480902647853, 582.1532433002153]"
11,"[0.0, 0.0]"
12,"[-66.08336556267211, 0.0]"
13,"[290.92350624779044, -269.78136498781396]"
14,"[664.809560598197, -536.5195709367123]"
15,"[290.92350624779044, -252.86222210121025]"
16,"[290.92350624779044, -269.78136498781396]"
17,"[290.92350624779044, -269.78136498781396]"
18,"[290.92350624779044, -269.78136498781396]"
19,"[290.92350624779044, -269.78136498781396]"
20,"[290.92350624779044, -269.78136498781396]"
21,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
22,"[290.92350624779044, -269.78136498781396]"
23,"[0.0, 0.0]"
24,"[0.0, 0.0]"
25,"[457.77581131095843, 1169.8575991099337]"
26,"[468.9810493180269, 222.28651415287402]"
27,"[-205.89742540565624, 780.9425961758063]"
28,"[303.4534884717277, 214.09312270166055]"
