generation,solution,fitness
1,"[39.02692951462894, 18.037877755457565, 39.93889941816905, 54.022873253289895, 23.24273044865305]",[1194.1534603136356]
1,"[35.44464400450183, 64.22385364305774, 47.40168585399561, 65.27261351529445, 6.742497892206017]",[1193.1509959496343]
1,"[36.518422354157046, 34.24931091833391, 19.996036966976966, 58.15680879603689, 9.36505510752151]",[1193.6500373932995]
1,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
1,"[42.730939137155104, 26.551275490123146, 51.16804712719039, 66.52727871337012, 72.4625330508431]",[1192.6768202510764]
1,"[34.177424796428845, 15.704943935414093, 71.82356701319256, 52.820353123944905, 52.657639792947975]",[1191.4925121305455]
1,"[32.524742806414075, 51.86300715091403, 28.24458428214076, 55.39085406554463, 26.78478379211447]",[1195.3088184925914]
1,"[37.18286118449233, 3.4655067973220905, 6.33206286595399, 61.014715072220916, 35.02893554903119]",[1194.2792585413665]
1,"[39.992598039371835, 65.37383426572946, 60.07252616562838, 59.49237899331272, 47.522515933236086]",[1195.6850997779427]
2,"[39.02692951462894, 18.037877755457565, 39.93889941816905, 54.022873253289895, 23.24273044865305]",[1194.1534603136356]
2,"[35.44464400450183, 64.22385364305774, 47.40168585399561, 65.27261351529445, 6.742497892206017]",[1193.1509959496343]
2,"[36.518422354157046, 34.24931091833391, 19.996036966976966, 58.15680879603689, 9.36505510752151]",[1193.6500373932995]
2,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
2,"[42.730939137155104, 26.551275490123146, 51.16804712719039, 66.52727871337012, 72.4625330508431]",[1192.6768202510764]
2,"[34.177424796428845, 15.704943935414093, 71.82356701319256, 52.820353123944905, 52.657639792947975]",[1191.4925121305455]
2,"[32.524742806414075, 51.86300715091403, 28.24458428214076, 55.39085406554463, 26.78478379211447]",[1195.3088184925914]
2,"[37.777362354487956, 18.065506797322094, 20.93206286595399, 58.014715072220916, 49.62893554903119]",[1194.1534603136356]
2,"[39.992598039371835, 65.37383426572946, 60.07252616562838, 59.49237899331272, 47.522515933236086]",[1195.6850997779427]
3,"[34.626929514628934, 16.5553042863794, 69.13889941816905, 52.74880422529603, 35.20537580781979]",[1192.2760567710493]
3,"[35.44464400450183, 64.22385364305774, 47.40168585399561, 65.27261351529445, 6.742497892206017]",[1193.1509959496343]
3,"[36.518422354157046, 34.24931091833391, 19.996036966976966, 58.15680879603689, 9.36505510752151]",[1193.6500373932995]
3,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
3,"[38.3309391371551, 19.543909539257303, 72.77622881539105, 60.52727871337012, 60.917476675644764]",[1191.7434332174205]
3,"[34.177424796428845, 15.704943935414093, 71.82356701319256, 52.820353123944905, 52.657639792947975]",[1191.4925121305455]
3,"[33.78666794555146, 25.223918443907955, 57.44458428214076, 54.43373425854903, 53.01510399731224]",[1195.0611399523298]
3,"[37.777362354487956, 18.065506797322094, 20.93206286595399, 58.014715072220916, 49.62893554903119]",[1194.1534603136356]
3,"[36.08576936843551, 40.28506168084103, 66.65193119033101, 55.60699588096606, 52.65495344919247]",[1195.3570894899756]
4,"[33.551524286143284, 15.236256137447343, 69.90093064749544, 52.279272982872975, 49.80537580781979]",[1192.2202565959903]
4,"[35.44464400450183, 64.22385364305774, 47.40168585399561, 65.27261351529445, 6.742497892206017]",[1193.1509959496343]
4,"[36.518422354157046, 34.24931091833391, 19.996036966976966, 58.15680879603689, 9.36505510752151]",[1193.6500373932995]
4,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
