generation,solution,fitness
1,[287.27005942368123],[113287.27005942368]
1,[575.3571532049581],[575.3571532049581]
1,[465.99697090570254],[465.99697090570254]
1,[399.3292420985183],[17399.32924209852]
1,[178.00932022121827],[216178.00932022123]
1,[177.99726016810132],[216177.9972601681]
1,[129.04180608409973],[267129.0418060841]
1,[533.0880728874677],[533.0880728874677]
1,[400.5575058716044],[16400.557505871606]
2,[434.78278853981743],[434.78278853981743]
2,[465.99697090570254],[465.99697090570254]
2,[473.5864113885181],[473.5864113885181]
2,[492.45730747394435],[492.45730747394435]
2,[521.3783710483644],[521.3783710483644]
2,[533.0880728874677],[533.0880728874677]
2,[534.0498979851678],[534.0498979851678]
2,[537.021747061543],[537.021747061543]
2,[546.5697716702123],[546.5697716702123]
3,[434.78278853981743],[434.78278853981743]
3,[435.2582533746097],[435.2582533746097]
3,[451.26179334832653],[451.26179334832653]
3,[455.9069891323668],[455.9069891323668]
3,[465.99697090570254],[465.99697090570254]
3,[473.5864113885181],[473.5864113885181]
3,[483.7048852272276],[483.7048852272276]
3,[492.45730747394435],[492.45730747394435]
3,[521.3783710483644],[521.3783710483644]
4,[434.78278853981743],[434.78278853981743]
4,[435.2433224406431],[435.2433224406431]
4,[435.2582533746097],[435.2582533746097]
4,[438.46162656019413],[438.46162656019413]
4,[443.38972699834176],[443.38972699834176]
4,[451.24372879016425],[451.24372879016425]
4,[451.26179334832653],[451.26179334832653]
4,[455.9069891323668],[455.9069891323668]
4,[455.9250536905291],[455.9250536905291]
5,[434.665210415316],[434.665210415316]
5,[434.69474346983344],[434.69474346983344]
5,[434.78278853981743],[434.78278853981743]
5,[435.2433224406431],[435.2433224406431]
5,[435.2582533746097],[435.2582533746097]
5,[435.25871078686583],[435.25871078686583]
5,[436.0173187772022],[436.0173187772022]
5,[438.46162656019413],[438.46162656019413]
5,[438.5496716301781],[438.5496716301781]
