iter,grad
1,[-1.41]
2,[-1.38]
3,[-0.77]
4,[0.03]
5,[0.01]
6,[0.03]
6,[0.03]
7,[0.02]
8,[0.03]
8,[0.03]
9,[0.03]
9,[0.03]
10,[0.02]
11,[0.03]
11,[0.03]
12,[0.03]
12,[0.03]
13,[0.03]
14,[0.]
15,[0.03]
15,[0.03]
16,[0.01]
17,[0.03]
17,[0.03]
18,[0.02]
19,[0.03]
19,[0.03]
20,[0.02]
21,[0.03]
21,[0.03]
22,[0.02]
23,[0.03]
23,[0.03]
24,[0.02]
25,[0.03]
25,[0.03]
26,[0.02]
27,[0.03]
28,[0.02]
29,[0.03]
29,[0.03]
30,[0.02]
31,[0.03]
31,[0.03]
32,[0.03]
32,[0.03]
33,[0.02]
34,[0.03]
34,[0.03]
34,[0.02999998]
35,[0.02]
35,[0.02000002]
35,[0.02000002]
