iter,fitness,solution
1,8412.5,412.5
2,8411.58,411.58
3,9410.66,410.65999999999997
4,8411.5798701904,411.57987019040024
5,9411.119870208717,411.1198702087167
6,8411.579707986873,411.57970798687285
7,9411.349772884803,411.3497728848036
8,8411.579667455979,411.57966745597906
9,8411.464716118222,411.4647161182215
10,9411.388852895365,411.3888528953641
11,8411.464713209898,411.4647132098974
12,9411.426782611423,411.4267826114225
13,8411.464712106885,411.4647121068838
14,8411.445747248856,411.4457472488559
15,8411.433230569399,411.4332305693996
