iter,grad
1,[-1.55]
2,[-1.54]
3,[0.74]
4,[0.02]
5,[0.74]
6,[0.74]
7,[0.36]
8,[0.74]
9,[0.74]
10,[0.6]
11,[0.74]
11,[0.73999997]
12,[0.67]
13,[0.74]
13,[0.73999998]
14,[0.7]
15,[0.74]
15,[0.73999999]
16,[0.72]
17,[0.74]
17,[0.74]
18,[0.73]
19,[0.74]
20,[0.73]
21,[0.74]
21,[0.74]
22,[0.74]
22,[0.74]
23,[0.73]
24,[0.74]
24,[0.74]
25,[0.73]
26,[0.74]
26,[0.74]
27,[0.73]
28,[0.74]
28,[0.74]
29,[0.73]
30,[0.74]
31,[0.73]
32,[0.74]
32,[0.74]
33,[0.73]
34,[0.74]
34,[0.74]
35,[0.73]
36,[0.74]
36,[0.74]
37,[0.73]
38,[0.74]
38,[0.74]
39,[0.73]
40,[0.74]
40,[0.74]
41,[0.73]
42,[0.74]
42,[0.74]
43,[0.74]
43,[0.74]
