iter,fitness,timestep,solution
1,224173.37794540855,15:19:47.820,173.3779454085565
2,223174.61794540856,15:20:55.378,174.61794540855652
3,83327.13794540857,15:22:00.980,327.13794540856395
4,98308.61765969428,15:23:13.536,308.61765969427734
5,83327.13729679039,15:24:28.246,327.13729679038903
6,91317.87715395597,15:25:59.936,317.877153955974
7,83327.13634425004,15:26:57.170,327.1363442500484
8,87322.50659712919,15:28:09.509,322.50659712919014
9,83327.13588834091,15:28:59.645,327.13588834090626
10,84324.8211667593,15:30:11.891,324.82116675929313
11,83327.1355842978,15:31:04.156,327.135584297788
12,84325.97829949275,15:32:12.378,325.97829949275103
13,83327.13539425125,15:33:00.513,327.1353942512488
14,83326.55682788577,15:34:11.757,326.5568278857694
15,83326.17499592053,15:35:34.116,326.17499592053974
16,84326.04517590543,15:36:51.331,326.0451759054273
17,83326.96794540857,15:37:37.473,326.96794540856393
18,83326.28794540856,15:38:26.645,326.28794540856387
19,86323.56794540856,15:39:12.859,323.5679454085636
20,83326.28787547973,15:39:57.965,326.28787547973184
21,84324.92787548153,15:41:06.151,324.92787548153024
22,83326.28775309307,15:41:51.270,326.28775309307423
23,84325.60778805862,15:43:00.461,325.6077880586176
24,83326.28768753006,15:43:43.617,326.2876875300614
25,84325.94773124177,15:44:54.813,325.9477312417708
26,83326.28767114972,15:45:44.943,326.2876711497257
27,83326.11769955818,15:46:48.118,326.11769955818073
28,84326.00552019101,15:47:56.325,326.00552019100985
29,83326.11769873953,15:48:39.456,326.1176987395327
30,84325.94769873953,15:49:21.587,325.9476987395327
31,83326.11769792058,15:50:03.755,326.1176979205794
32,84326.03269792059,15:51:09.981,326.03269792058336
33,83326.11769689691,15:51:53.133,326.11769689691465
34,84326.07519730639,15:53:01.335,326.0751973063898
35,83326.11769664101,15:53:45.468,326.11769664101877
36,84326.09644694811,15:54:53.685,326.0964469481156
37,83326.11769657704,15:55:37.847,326.11769657704735
38,83326.10707175618,15:56:43.060,326.10707175618444
39,84326.10005938177,15:57:49.253,326.10005938177153
40,83326.1070717516,15:58:31.390,326.1070717515927
41,84326.10356556598,15:59:35.569,326.1035655659855
42,83326.10707174985,16:00:16.678,326.1070717498512
