iter,grad
1,[1.]
2,[1.]
3,[1.]
4,[1.]
5,[1.]
6,[1.]
7,[1.00000179]
8,[1.]
9,[1.]
10,[1.00000034]
11,[1.]
12,[1.]
13,[1.]
14,[1.]
15,[1.]
16,[0.99999997]
17,[1.]
18,[1.]
19,[0.99999997]
20,[1.]
21,[1.]
22,[1.]
23,[0.99999997]
24,[1.]
24,[-327.13777396]
25,[1.]
26,[1.]
27,[1.]
28,[1.]
29,[1.]
30,[1.]
31,[1.]
32,[1.]
32,[0.32335893]
32,[0.80796328]
32,[0.95618358]
32,[0.99059091]
32,[0.99800695]
32,[0.99957906]
32,[0.99991115]
32,[0.99998124]
32,[0.99999604]
32,[0.99999916]
32,[0.9999971]
32,[0.99999873]
32,[0.99999766]
32,[0.99999729]
