iter,fitness,timestep,solution
1,16400.557505871606,16:14:21.322,400.5575058716044
2,17399.717505871606,16:15:36.087,399.71750587160443
3,16400.557407062428,16:16:46.623,400.5574070624265
4,17400.137456467015,16:17:51.917,400.13745646701545
5,16400.55738236909,16:19:05.266,400.5573823690905
6,17400.347407072837,16:20:58.567,400.347407072837
7,16400.55735150717,16:22:13.921,400.55735150716936
8,16400.45237620444,16:24:05.686,400.4523762044401
9,16400.383096053083,16:25:53.828,400.3830960530839
10,16400.35954126549,16:27:48.296,400.359541265492
11,17399.51954126549,16:28:58.848,399.519541265492
12,16400.359442456313,16:30:11.446,400.35944245631407
13,17399.939442467938,16:32:13.489,399.9394424679378
14,16400.359318982853,16:33:34.979,400.35931898285384
15,17400.149368383085,16:35:50.584,400.1493683830837
16,16400.35928812819,16:37:18.887,400.35928812819196
17,17400.2543251708,16:39:28.667,400.2543251708004
18,16400.35928041624,16:41:04.464,400.3592804162383
19,17400.306802022402,16:43:13.870,400.30680202240256
20,16400.359278488464,16:44:24.747,400.3592784884637
21,17400.333040062666,16:46:31.258,400.3330400626655
22,16400.35927800655,16:47:46.467,400.35927800654684
23,17400.346158986416,16:49:28.750,400.3461589864157
24,16400.35927788607,16:50:52.628,400.35927788607097
