iter,grad
1,[0.37]
2,[0.37]
3,[0.37]
4,[0.36]
5,[0.37]
5,[0.37]
6,[0.37]
6,[0.37]
7,[0.36]
8,[0.37]
8,[0.37]
9,[0.36]
10,[0.37]
10,[0.37]
11,[0.36]
12,[0.37]
13,[-2.04]
14,[0.36]
15,[0.37]
15,[0.37]
16,[0.37]
16,[0.37]
17,[0.36]
18,[0.37]
18,[0.37]
18,[0.36999997]
19,[0.37]
20,[-2.04]
21,[0.36]
22,[0.37]
22,[0.37]
23,[0.36]
24,[0.37]
24,[0.37]
25,[0.36]
26,[0.37]
26,[0.37]
26,[0.36999998]
26,[0.37]
26,[0.37]
26,[0.37]
26,[0.37]
26,[0.37]
26,[0.37]
26,[0.37]
26,[0.37]
26,[0.37]
27,[0.36]
28,[0.37]
28,[0.37]
29,[0.36]
30,[0.37]
30,[0.37]
31,[0.36]
32,[0.37]
32,[0.37]
33,[0.36]
34,[0.37]
34,[0.37]
35,[0.36]
36,[0.37]
36,[0.37]
37,[0.36]
38,[0.37]
38,[0.37]
39,[0.36]
40,[0.37]
