iter,fitness,timestep,solution
1,537.5,00:36:12.731,537.5
2,536.5,00:37:18.089,536.5
3,535.5,00:38:28.391,535.5
4,531.5,00:39:45.651,531.5
5,515.5,00:40:50.854,515.5
6,451.5,00:41:47.287,451.5
7,201195.5,00:42:37.411,195.5
8,451.4456004087785,00:43:31.539,451.4456004087785
9,451.3912239470782,00:44:30.730,451.3912239470782
10,86323.44561197354,00:45:26.874,323.4456119735391
11,451.3594775752083,00:46:23.043,451.3594775752083
12,451.3277469607687,00:47:25.217,451.3277469607687
13,26387.386679467152,00:48:25.439,387.3866794671539
14,451.30152254164227,00:49:30.640,451.30152254164227
15,451.27531963586966,00:50:39.870,451.27531963586966
16,1419.3309995515117,00:51:45.068,419.33099955151175
17,451.1043128623088,00:52:41.224,451.1043128623088
18,450.93513707808205,00:53:36.415,450.93513707808205
19,435.1330683147969,00:54:29.573,435.1330683147969
20,435.0913383625125,00:55:16.735,435.0913383625125
21,435.04982881611926,00:56:07.888,435.04982881611926
22,427.1904141838155,00:57:00.154,427.1904141838155
