iter,grad
1,[1.]
2,[1.]
3,[1.]
4,[1.]
5,[1.]
6,[0.99999997]
7,[1.]
8,[1.]
9,[1.]
10,[1.]
11,[1.]
12,[1.00000016]
13,[1.]
13,[-326.2639304]
14,[1.]
15,[1.]
16,[1.]
17,[1.]
18,[1.]
19,[1.]
20,[1.]
21,[1.]
22,[1.]
23,[1.]
23,[-171.40945705]
23,[-75.75164121]
23,[-145.74257453]
23,[-165.65528582]
23,[-170.1788548]
23,[-171.14901842]
23,[-171.3544621]
23,[-171.39784965]
23,[-171.4070074]
23,[-171.40894008]
23,[-171.40934795]
23,[-171.40943403]
23,[-171.40945219]
23,[-171.40945603]
23,[-171.40945683]
23,[-171.409457]
23,[-171.40945704]
23,[-171.40945702]
23,[-171.40945703]
23,[-171.40945702]
23,[-171.40945703]
24,[1.]
25,[1.]
26,[1.]
27,[1.]
28,[1.]
29,[1.]
30,[1.]
31,[1.]
32,[1.]
33,[1.]
34,[1.]
34,[-177.16131269]
34,[-247.68856758]
34,[-262.89066346]
34,[-265.61369031]
34,[-266.04401915]
34,[-266.07927428]
34,[-266.07963349]
34,[-266.07963353]
