iter,fitness,timestep,solution
1,600.0,22:39:18.614,600.0
2,599.0000000025248,22:40:19.960,599.0000000025248
3,598.0000000050495,22:41:18.366,598.0000000050495
4,594.0000000151485,22:42:18.533,594.0000000151485
5,578.0000000555447,22:43:24.751,578.0000000555447
6,514.0000002171291,22:44:27.920,514.0000002171291
7,141258.00000086345,22:45:19.038,258.000000863467
8,513.9225110413987,22:46:16.168,513.9225110413987
9,513.8450687763899,22:47:12.355,513.8450687763899
10,27385.92253481993,22:48:01.449,385.9225348199284
11,513.7439754616108,22:48:49.576,513.7439754616108
12,513.6430419288181,22:49:35.698,513.6430419288181
13,449.78278837437324,22:50:15.814,449.78278837437324
14,449.75760478895074,22:50:55.890,449.75760478895074
15,449.7324410660543,22:51:33.980,449.7324410660543
16,4417.827487942992,22:52:12.071,417.8274879429914
17,449.6899709475314,22:52:50.146,449.6899709475314
18,449.6476138967794,22:53:27.288,449.6476138967794
19,433.7375509198854,22:54:03.362,433.7375509198854
20,432.73755092241015,22:54:37.446,432.73755092241015
21,428.7375509325092,22:55:11.539,428.7375509325092
22,8412.737550972905,22:55:47.621,412.7375509729053
23,428.73221582025286,22:56:19.694,428.73221582025286
24,428.72688426592435,22:56:49.780,428.72688426592435
25,420.7322176194148,22:57:19.844,420.7322176194148
26,433.6398870063517,22:58:04.969,433.6398870063517
27,424.985697399832,22:58:35.061,424.985697399832
28,422.1332776995605,22:59:05.146,422.1332776995605
29,421.19312055996096,22:59:35.220,421.19312055996096
30,420.88324489665087,23:00:05.294,420.88324489665087
31,420.7811099213495,23:00:42.381,420.7811099213495
32,420.7474462493182,23:01:19.466,420.7474462493182
33,420.73635071293245,23:01:51.542,420.73635071293245
34,420.73110520357847,23:02:40.656,420.73110520357847
