iter,fitness,timestep,solution
1,98308.51100235128,00:38:08.588,308.511002351287
2,99307.51100201275,00:39:21.896,307.51100201275125
3,98308.51083565666,00:40:31.173,308.510835656664
4,99308.01091883471,00:41:37.675,308.01091883470764
5,98308.51079400038,00:42:45.089,308.51079400037406
6,98308.47550124952,00:43:54.643,308.4755012495096
7,98308.24321004211,00:45:00.080,308.2432100421086
8,98308.21323182125,00:46:32.714,308.2132318212483
9,98308.09335491197,00:47:28.868,308.09335491196305
10,99307.61384727483,00:48:26.068,307.613847274822
11,98308.09331658762,00:49:29.236,308.09331658762466
12,98308.23805553556,00:50:48.465,308.2380555355621
13,98308.1253619207,00:51:26.559,308.12536192070235
14,98308.10039124858,00:52:06.660,308.1003912485757
15,98308.09485824923,00:52:45.774,308.09485824922325
