generation,solution,fitness
1,[183.91929109569094],[209183.9192910957]
1,[323.0194192160777],[86323.01941921607]
1,[586.5524849160278],[586.5524849160278]
1,[507.1035806996734],[507.1035806996734]
1,[391.02113248173794],[23391.02113248174]
1,[142.3534697782],[258142.3534697782]
1,[281.76575841045224],[117281.76575841045]
1,[246.23427040448595],[160246.2342704045]
1,[453.7607871892456],[453.7607871892456]
2,[283.91929109569094],[116283.91929109569]
2,[423.0194192160777],[423.0194192160777]
2,[486.55248491602777],[486.55248491602777]
2,[500.4602316235165],[500.4602316235165]
2,[491.02113248173794],[491.02113248173794]
2,[242.3534697782],[162242.3534697782]
2,[381.76575841045224],[30381.765758410453]
2,[346.234270404486],[66346.23427040449]
2,[453.7607871892456],[453.7607871892456]
3,[383.91929109569094],[28383.91929109569]
3,[423.0194192160777],[423.0194192160777]
3,[486.55248491602777],[486.55248491602777]
3,[500.4602316235165],[500.4602316235165]
3,[486.5000046004498],[486.5000046004498]
3,[281.44387416159236],[118281.44387416159]
3,[475.1586251310053],[475.1586251310053]
3,[393.0751420724578],[22393.07514207246]
3,[445.0587136439084],[445.0587136439084]
4,[425.18271251919157],[425.18271251919157]
4,[423.0194192160777],[423.0194192160777]
4,[431.3299328534013],[431.3299328534013]
4,[500.21248910830343],[500.21248910830343]
4,[449.70739488835073],[449.70739488835073]
4,[322.2935942419805],[87322.29359424199]
4,[475.1586251310053],[475.1586251310053]
4,[446.65959629486514],[446.65959629486514]
4,[420.3155851832331],[420.3155851832331]
5,[425.18271251919157],[425.18271251919157]
5,[423.0194192160777],[423.0194192160777]
5,[431.3299328534013],[431.3299328534013]
5,[437.75238005830175],[437.75238005830175]
5,[449.70739488835073],[449.70739488835073]
5,[405.31527421402853],[13405.315274214028]
5,[475.1586251310053],[475.1586251310053]
5,[446.65959629486514],[446.65959629486514]
5,[420.3155851832331],[420.3155851832331]
