generation,solution,fitness
1,[283.4915809666554],[116283.49158096666]
1,[393.1230387181429],[22393.123038718142]
1,[260.46636523678694],[138260.4663652368]
1,[337.0597839876334],[76337.05978398763]
1,[310.9866076624497],[96310.98660766245]
1,[267.8207112399406],[127267.82071123994]
1,[435.6931208026165],[435.6931208026165]
1,[559.5167662104163],[559.5167662104163]
1,[237.48548220347507],[170237.48548220348]
1,[420.7576187652553],[420.7576187652553]
1,[548.2812688527345],[548.2812688527345]
1,[351.6241182220072],[60351.624118222004]
1,[191.57912712586904],[203191.57912712588]
1,[102.89237556487097],[300102.89237556484]
1,[144.66583998282314],[256144.66583998283]
1,[151.74127952506333],[251151.74127952507]
1,[476.8466386877639],[476.8466386877639]
1,[133.1527058086617],[264133.15270580864]
1,[318.2436337263456],[91318.24363372635]
1,[465.1452220535644],[465.1452220535644]
1,[511.3447727068264],[511.3447727068264]
1,[567.4989672158199],[567.4989672158199]
1,[517.4898808843741],[517.4898808843741]
1,[590.4427018646119],[590.4427018646119]
1,[406.1360464638367],[12406.136046463836]
1,[375.8592413003613],[34375.859241300364]
1,[495.11315380503225],[495.11315380503225]
1,[227.8555909105014],[178227.8555909105]
1,[172.12469239871604],[226172.1246923987]
1,[204.12709117603868],[195204.12709117605]
2,[383.4915809666554],[28383.491580966656]
2,[428.39617741272707],[428.39617741272707]
2,[337.07994603951266],[76337.0799460395]
2,[423.33611494903164],[423.33611494903164]
2,[356.8778924217787],[53356.87789242178]
2,[353.7770833113419],[57353.77708331134]
2,[435.6931208026165],[435.6931208026165]
2,[499.75415448756553],[499.75415448756553]
2,[337.48548220347504],[76337.48548220347]
2,[420.7576187652553],[420.7576187652553]
2,[453.6976457586658],[453.6976457586658]
2,[451.6241182220072],[451.6241182220072]
2,[291.57912712586904],[110291.57912712586]
2,[193.31540628436827],[202193.31540628438]
2,[244.66583998282314],[161244.66583998283]
2,[213.95244338686817],[187213.95244338686]
2,[463.8968312179039],[463.8968312179039]
2,[233.1527058086617],[174233.15270580866]
2,[399.06132194132334],[17399.061321941324]
2,[456.52190532244947],[456.52190532244947]
2,[511.3447727068264],[511.3447727068264]
2,[467.4989672158199],[467.4989672158199]
2,[475.19588825969436],[475.19588825969436]
2,[499.8802538064674],[499.8802538064674]
2,[451.07157142034555],[451.07157142034555]
2,[468.19319576411505],[468.19319576411505]
2,[495.11315380503225],[495.11315380503225]
2,[327.8555909105014],[82327.8555909105]
2,[272.12469239871604],[124272.12469239872]
2,[266.5009036881824],[128266.50090368818]
3,[450.69758548382356],[450.69758548382356]
3,[428.39617741272707],[428.39617741272707]
3,[437.07994603951266],[437.07994603951266]
3,[423.33611494903164],[423.33611494903164]
3,[456.8778924217787],[456.8778924217787]
3,[453.7770833113419],[453.7770833113419]
3,[435.6931208026165],[435.6931208026165]
3,[452.39747842320554],[452.39747842320554]
