date,H2demand-0.time-based_0-tot_dem,CSVprod-0.time-based_0-production,H2_controller-0.time-based_0-dump,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-soc
2025-04-01,0.08,0.72,0.64,0.08,50.0
2025-04-01 00:15:00,0.04,0.75,0,0.04,50.142
2025-04-01 00:30:00,0.0,0.72,0,0.0,50.286
2025-04-01 00:45:00,0.05,0.74,0,0.05,50.424
2025-04-01 01:00:00,0.01,0.76,0,0.01,50.574
2025-04-01 01:15:00,0.01,0.74,0,0.01,50.72
2025-04-01 01:30:00,0.11,0.76,0,0.11,50.85
2025-04-01 01:45:00,0.11,0.74,0,0.11,50.976
2025-04-01 02:00:00,0.17,0.74,0,0.17,51.089999999999996
2025-04-01 02:15:00,0.02,0.75,0,0.02,51.236
2025-04-01 02:30:00,0.07,0.75,0,0.07,51.372
2025-04-01 02:45:00,0.11,0.73,0,0.11,51.496
2025-04-01 03:00:00,0.06,0.74,0,0.06,51.632000000000005
2025-04-01 03:15:00,0.09,0.75,0,0.09,51.764
2025-04-01 03:30:00,0.1,0.76,0,0.1,51.896
2025-04-01 03:45:00,0.1,0.72,0,0.1,52.02
2025-04-01 04:00:00,0.13,0.74,0,0.13,52.142
2025-04-01 04:15:00,0.04,0.71,0,0.04,52.276
2025-04-01 04:30:00,0.03,0.76,0,0.03,52.422000000000004
2025-04-01 04:45:00,0.1,0.76,0,0.1,52.554
2025-04-01 05:00:00,0.1,0.73,0,0.1,52.68
2025-04-01 05:15:00,0.56,0.75,0,0.56,52.717999999999996
2025-04-01 05:30:00,0.48,0.78,0,0.48,52.778
2025-04-01 05:45:00,0.66,0.76,0,0.66,52.798
2025-04-01 06:00:00,0.64,0.85,0,0.64,52.84
2025-04-01 06:15:00,0.93,0.84,0,0.93,52.822
2025-04-01 06:30:00,0.99,0.81,0,0.99,52.786
2025-04-01 06:45:00,0.86,0.82,0,0.86,52.778
2025-04-01 07:00:00,1.09,0.85,0,1.09,52.73
2025-04-01 07:15:00,1.27,0.85,0,1.27,52.645999999999994
2025-04-01 07:30:00,1.1,0.83,0,1.1,52.59199999999999
2025-04-01 07:45:00,0.73,0.84,0,0.73,52.61399999999999
2025-04-01 08:00:00,0.92,0.83,0,0.92,52.59599999999999
2025-04-01 08:15:00,0.68,0.83,0,0.68,52.62599999999999
2025-04-01 08:30:00,1.12,0.84,0,1.12,52.56999999999999
2025-04-01 08:45:00,0.62,0.84,0,0.62,52.61399999999999
2025-04-01 09:00:00,1.02,0.84,0,1.02,52.57799999999999
2025-04-01 09:15:00,0.48,0.76,0,0.48,52.633999999999986
2025-04-01 09:30:00,0.52,0.77,0,0.52,52.68399999999998
2025-04-01 09:45:00,0.54,0.77,0,0.54,52.72999999999998
2025-04-01 10:00:00,2.21,0.86,0,2.21,52.45999999999998
2025-04-01 10:15:00,1.27,0.87,0,1.27,52.37999999999998
2025-04-01 10:30:00,1.7,0.86,0,1.7,52.21199999999998
2025-04-01 10:45:00,1.29,0.88,0,1.29,52.12999999999998
2025-04-01 11:00:00,2.07,0.85,0,2.07,51.88599999999998
2025-04-01 11:15:00,1.13,0.9,0,1.13,51.83999999999998
2025-04-01 11:30:00,1.42,0.86,0,1.42,51.72799999999998
2025-04-01 11:45:00,1.52,0.85,0,1.52,51.59399999999998
2025-04-01 12:00:00,1.59,0.89,0,1.59,51.45399999999998
2025-04-01 12:15:00,2.25,0.9,0,2.25,51.183999999999976
2025-04-01 12:30:00,1.95,0.83,0,1.95,50.95999999999998
2025-04-01 12:45:00,2.14,0.84,0,2.14,50.69999999999998
2025-04-01 13:00:00,1.63,0.83,0,1.63,50.539999999999985
2025-04-01 13:15:00,0.96,0.85,0,0.96,50.51799999999999
2025-04-01 13:30:00,1.99,0.87,0,1.99,50.29399999999999
2025-04-01 13:45:00,1.44,0.87,0,1.44,50.17999999999999
2025-04-01 14:00:00,2.15,0.88,0,2.15,49.925999999999995
2025-04-01 14:15:00,1.48,0.86,0,1.48,49.80199999999999
2025-04-01 14:30:00,1.26,0.88,0,1.26,49.72599999999999
2025-04-01 14:45:00,2.26,0.87,0,2.26,49.44799999999999
2025-04-01 15:00:00,1.95,0.85,0,1.95,49.227999999999994
2025-04-01 15:15:00,2.15,0.86,0,2.15,48.96999999999999
2025-04-01 15:30:00,1.15,0.87,0,1.15,48.913999999999994
2025-04-01 15:45:00,1.4,0.85,0,1.4,48.803999999999995
2025-04-01 16:00:00,1.08,0.88,0,1.08,48.763999999999996
2025-04-01 16:15:00,0.48,0.77,0,0.48,48.821999999999996
2025-04-01 16:30:00,0.74,0.76,0,0.74,48.82599999999999
2025-04-01 16:45:00,0.35,0.75,0,0.35,48.90599999999999
2025-04-01 17:00:00,2.09,0.84,0,2.09,48.65599999999999
2025-04-01 17:15:00,2.1,0.82,0,2.1,48.39999999999999
2025-04-01 17:30:00,1.66,0.82,0,1.66,48.23199999999999
2025-04-01 17:45:00,2.17,0.83,0,2.17,47.96399999999999
2025-04-01 18:00:00,2.06,0.84,0,2.06,47.71999999999999
2025-04-01 18:15:00,2.24,0.84,0,2.24,47.43999999999999
2025-04-01 18:30:00,2.07,0.78,0,2.07,47.18199999999999
2025-04-01 18:45:00,2.18,0.83,0,2.18,46.911999999999985
2025-04-01 19:00:00,1.54,0.79,0,1.54,46.761999999999986
2025-04-01 19:15:00,2.05,0.86,0,2.05,46.52399999999999
2025-04-01 19:30:00,2.14,0.82,0,2.14,46.259999999999984
2025-04-01 19:45:00,2.51,0.84,0,2.51,45.92599999999998
2025-04-01 20:00:00,2.61,0.84,0,2.61,45.57199999999998
2025-04-01 20:15:00,0.64,0.78,0,0.64,45.59999999999998
2025-04-01 20:30:00,0.58,0.77,0,0.58,45.63799999999998
2025-04-01 20:45:00,0.62,0.77,0,0.62,45.66799999999998
2025-04-01 21:00:00,0.03,0.75,0,0.03,45.811999999999976
2025-04-01 21:15:00,0.0,0.73,0,0.0,45.95799999999998
2025-04-01 21:30:00,0.05,0.76,0,0.05,46.09999999999998
2025-04-01 21:45:00,0.06,0.75,0,0.06,46.23799999999998
2025-04-01 22:00:00,0.12,0.76,0,0.12,46.36599999999998
2025-04-01 22:15:00,0.13,0.7,0,0.13,46.479999999999976
2025-04-01 22:30:00,0.06,0.78,0,0.06,46.623999999999974
2025-04-01 22:45:00,0.07,0.77,0,0.07,46.763999999999974
2025-04-01 23:00:00,0.0,0.7,0,0.0,46.903999999999975
2025-04-01 23:15:00,0.3,0.77,0,0.3,46.997999999999976
2025-04-01 23:30:00,0.66,0.75,0,0.66,47.01599999999998
2025-04-01 23:45:00,0.29,0.77,0,0.29,47.11199999999997
2025-04-02,0.06,0.77,0,0.06,47.25399999999998
2025-04-02 00:15:00,0.11,0.74,0,0.11,47.379999999999974
2025-04-02 00:30:00,0.05,0.74,0,0.05,47.51799999999997
2025-04-02 00:45:00,0.02,0.76,0,0.02,47.665999999999976
2025-04-02 01:00:00,0.12,0.78,0,0.12,47.79799999999997
2025-04-02 01:15:00,0.02,0.73,0,0.02,47.939999999999976
2025-04-02 01:30:00,0.01,0.75,0,0.01,48.08799999999998
2025-04-02 01:45:00,0.03,0.75,0,0.03,48.23199999999998
2025-04-02 02:00:00,0.03,0.73,0,0.03,48.37199999999998
2025-04-02 02:15:00,0.06,0.76,0,0.06,48.51199999999998
2025-04-02 02:30:00,0.0,0.74,0,0.0,48.65999999999998
2025-04-02 02:45:00,0.0,0.74,0,0.0,48.807999999999986
2025-04-02 03:00:00,0.06,0.75,0,0.06,48.945999999999984
2025-04-02 03:15:00,0.11,0.74,0,0.11,49.07199999999998
2025-04-02 03:30:00,0.05,0.74,0,0.05,49.20999999999998
2025-04-02 03:45:00,0.03,0.74,0,0.03,49.35199999999998
2025-04-02 04:00:00,0.08,0.73,0,0.08,49.481999999999985
2025-04-02 04:15:00,0.04,0.74,0,0.04,49.621999999999986
2025-04-02 04:30:00,0.05,0.76,0,0.05,49.76399999999999
2025-04-02 04:45:00,0.08,0.76,0,0.08,49.89999999999999
2025-04-02 05:00:00,0.04,0.76,0,0.04,50.04399999999999
2025-04-02 05:15:00,0.59,0.77,0,0.59,50.07999999999999
