date,H2demand-0.time-based_0-tot_dem,CSVprod-0.time-based_0-production,H2_controller-0.time-based_0-dump,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-soc
2025-04-01,0.08,0.72,0.64,0.08,50.0
2025-04-01 00:15:00,0.04,0.75,0,0.04,50.16908465663907
2025-04-01 00:30:00,0.0,0.72,0,0.0,50.340550787315316
2025-04-01 00:45:00,0.05,0.74,0,0.05,50.50487249588005
2025-04-01 01:00:00,0.01,0.76,0,0.01,50.6834830486678
2025-04-01 01:15:00,0.01,0.74,0,0.01,50.85733065338122
2025-04-01 01:30:00,0.11,0.76,0,0.11,51.01212646579727
2025-04-01 01:45:00,0.11,0.74,0,0.11,51.162159330138984
2025-04-01 02:00:00,0.17,0.74,0,0.17,51.29790335025768
2025-04-01 02:15:00,0.02,0.75,0,0.02,51.47175095497109
2025-04-01 02:30:00,0.07,0.75,0,0.07,51.633691189498656
2025-04-01 02:45:00,0.11,0.73,0,0.11,51.7813425798032
2025-04-01 03:00:00,0.06,0.74,0,0.06,51.943282814330765
2025-04-01 03:15:00,0.09,0.75,0,0.09,52.10046010078399
2025-04-01 03:30:00,0.1,0.76,0,0.1,52.25763738723722
2025-04-01 03:45:00,0.1,0.72,0,0.1,52.40528877754176
2025-04-01 04:00:00,0.13,0.74,0,0.13,52.55055869380914
2025-04-01 04:15:00,0.04,0.71,0,0.04,52.71011745429953
2025-04-01 04:30:00,0.03,0.76,0,0.03,52.883965059012944
2025-04-01 04:45:00,0.1,0.76,0,0.1,53.04114234546617
2025-04-01 05:00:00,0.1,0.73,0,0.1,53.19117520980788
2025-04-01 05:15:00,0.56,0.75,0,0.56,53.23642321651411
2025-04-01 05:30:00,0.48,0.78,0,0.48,53.30786743762921
2025-04-01 05:45:00,0.66,0.76,0,0.66,53.33168217800091
2025-04-01 06:00:00,0.64,0.85,0,0.64,53.38169313278148
2025-04-01 06:15:00,0.93,0.84,0,0.93,53.360259866446945
2025-04-01 06:30:00,0.99,0.81,0,0.99,53.317393333777886
2025-04-01 06:45:00,0.86,0.82,0,0.86,53.307867437629206
2025-04-01 07:00:00,1.09,0.85,0,1.09,53.25071206073712
2025-04-01 07:15:00,1.27,0.85,0,1.27,53.15069015117598
2025-04-01 07:30:00,1.1,0.83,0,1.1,53.08639035217239
2025-04-01 07:45:00,0.73,0.84,0,0.73,53.11258656658126
2025-04-01 08:00:00,0.92,0.83,0,0.92,53.091153300246724
2025-04-01 08:15:00,0.68,0.83,0,0.68,53.126875410804274
2025-04-01 08:30:00,1.12,0.84,0,1.12,53.06019413776351
2025-04-01 08:45:00,0.62,0.84,0,0.62,53.11258656658125
2025-04-01 09:00:00,1.02,0.84,0,1.02,53.06972003391219
2025-04-01 09:15:00,0.48,0.76,0,0.48,53.136401306952955
2025-04-01 09:30:00,0.52,0.77,0,0.52,53.1959381578822
2025-04-01 09:45:00,0.54,0.77,0,0.54,53.250712060737115
2025-04-01 10:00:00,2.21,0.86,0,2.21,52.92921306571916
2025-04-01 10:15:00,1.27,0.87,0,1.27,52.83395410423236
2025-04-01 10:30:00,1.7,0.86,0,1.7,52.633910285110076
2025-04-01 10:45:00,1.29,0.88,0,1.29,52.536269849586105
2025-04-01 11:00:00,2.07,0.85,0,2.07,52.24573001705136
2025-04-01 11:15:00,1.13,0.9,0,1.13,52.190956114196446
2025-04-01 11:30:00,1.42,0.86,0,1.42,52.057593568114925
2025-04-01 11:45:00,1.52,0.85,0,1.52,51.89803480762453
2025-04-01 12:00:00,1.59,0.89,0,1.59,51.731331625022634
2025-04-01 12:15:00,2.25,0.9,0,2.25,51.40983263000468
2025-04-01 12:30:00,1.95,0.83,0,1.95,51.14310753784164
2025-04-01 12:45:00,2.14,0.84,0,2.14,50.83351591300953
2025-04-01 13:00:00,1.63,0.83,0,1.63,50.64299799003592
2025-04-01 13:15:00,0.96,0.85,0,0.96,50.61680177562705
2025-04-01 13:30:00,1.99,0.87,0,1.99,50.35007668346401
2025-04-01 13:45:00,1.44,0.87,0,1.44,50.21433266334532
2025-04-01 14:00:00,2.15,0.88,0,2.15,49.911885460624724
2025-04-01 14:15:00,1.48,0.86,0,1.48,49.76423407032018
2025-04-01 14:30:00,1.26,0.88,0,1.26,49.673738056907716
2025-04-01 14:45:00,2.26,0.87,0,2.26,49.34271316574108
2025-04-01 15:00:00,1.95,0.85,0,1.95,49.080751021652375
2025-04-01 15:15:00,2.15,0.86,0,2.15,48.77354087085744
2025-04-01 15:30:00,1.15,0.87,0,1.15,48.706859597816674
2025-04-01 15:45:00,1.4,0.85,0,1.4,48.575878525772325
2025-04-01 16:00:00,1.08,0.88,0,1.08,48.52824904502892
2025-04-01 16:15:00,0.48,0.77,0,0.48,48.59731179210685
2025-04-01 16:30:00,0.74,0.76,0,0.74,48.60207474018119
2025-04-01 16:45:00,0.35,0.75,0,0.35,48.697333701667986
2025-04-01 17:00:00,2.09,0.84,0,2.09,48.39964944702173
2025-04-01 17:15:00,2.1,0.82,0,2.1,48.094820770263965
2025-04-01 17:30:00,1.66,0.82,0,1.66,47.89477695114168
2025-04-01 17:45:00,2.17,0.83,0,2.17,47.57565943016089
2025-04-01 18:00:00,2.06,0.84,0,2.06,47.28511959762614
2025-04-01 18:15:00,2.24,0.84,0,2.24,46.951713232422335
2025-04-01 18:30:00,2.07,0.78,0,2.07,46.6445030816274
2025-04-01 18:45:00,2.18,0.83,0,2.18,46.323004086609444
2025-04-01 19:00:00,1.54,0.79,0,1.54,46.14439353382169
2025-04-01 19:15:00,2.05,0.86,0,2.05,45.86099812339845
2025-04-01 19:30:00,2.14,0.82,0,2.14,45.54664355049201
2025-04-01 19:45:00,2.51,0.84,0,2.51,45.14893738628461
2025-04-01 20:00:00,2.61,0.84,0,2.61,44.72741648170551
2025-04-01 20:15:00,0.64,0.78,0,0.64,44.76075711822589
2025-04-01 20:30:00,0.58,0.77,0,0.58,44.80600512493212
2025-04-01 20:45:00,0.62,0.77,0,0.62,44.84172723548967
2025-04-01 21:00:00,0.03,0.75,0,0.03,45.013193366165915
2025-04-01 21:15:00,0.0,0.73,0,0.0,45.18704097087933
2025-04-01 21:30:00,0.05,0.76,0,0.05,45.3561256275184
2025-04-01 21:45:00,0.06,0.75,0,0.06,45.52044733608314
2025-04-01 22:00:00,0.12,0.76,0,0.12,45.67286167446202
2025-04-01 22:15:00,0.13,0.7,0,0.13,45.80860569458071
2025-04-01 22:30:00,0.06,0.78,0,0.06,45.98007182525696
2025-04-01 22:45:00,0.07,0.77,0,0.07,46.14677500785886
2025-04-01 23:00:00,0.0,0.7,0,0.0,46.313478190460756
2025-04-01 23:15:00,0.3,0.77,0,0.3,46.42540747020775
2025-04-01 23:30:00,0.66,0.75,0,0.66,46.446840736542285
2025-04-01 23:45:00,0.29,0.77,0,0.29,46.561151490326445
2025-04-02,0.06,0.77,0,0.06,46.73023614696552
2025-04-02 00:15:00,0.11,0.74,0,0.11,46.88026901130723
2025-04-02 00:30:00,0.05,0.74,0,0.05,47.04459071987196
2025-04-02 00:45:00,0.02,0.76,0,0.02,47.22081979862254
2025-04-02 01:00:00,0.12,0.78,0,0.12,47.37799708507577
2025-04-02 01:15:00,0.02,0.73,0,0.02,47.54708174171484
2025-04-02 01:30:00,0.01,0.75,0,0.01,47.72331082046542
2025-04-02 01:45:00,0.03,0.75,0,0.03,47.894776951141665
2025-04-02 02:00:00,0.03,0.73,0,0.03,48.061480133743565
2025-04-02 02:15:00,0.06,0.76,0,0.06,48.228183316345465
2025-04-02 02:30:00,0.0,0.74,0,0.0,48.404412395096045
2025-04-02 02:45:00,0.0,0.74,0,0.0,48.580641473846626
2025-04-02 03:00:00,0.06,0.75,0,0.06,48.74496318241136
2025-04-02 03:15:00,0.11,0.74,0,0.11,48.89499604675307
2025-04-02 03:30:00,0.05,0.74,0,0.05,49.05931775531781
2025-04-02 03:45:00,0.03,0.74,0,0.03,49.22840241195688
2025-04-02 04:00:00,0.08,0.73,0,0.08,49.38319822437293
2025-04-02 04:15:00,0.04,0.74,0,0.04,49.54990140697483
2025-04-02 04:30:00,0.05,0.76,0,0.05,49.718986063613904
2025-04-02 04:45:00,0.08,0.76,0,0.08,49.88092629814147
2025-04-02 05:00:00,0.04,0.76,0,0.04,50.05239242881771
2025-04-02 05:15:00,0.59,0.77,0,0.59,50.09525896148677
2025-04-02 05:30:00,0.56,0.77,0,0.56,50.14526991626734
2025-04-02 05:45:00,0.73,0.78,0,0.73,50.15717728645319
2025-04-02 06:00:00,1.35,0.82,0,1.35,50.03095916248318
2025-04-02 06:15:00,0.76,0.83,0,0.76,50.04762948074337
2025-04-02 06:30:00,1.26,0.88,0,1.26,49.957133467330905
2025-04-02 06:45:00,0.82,0.87,0,0.82,49.96904083751676
2025-04-02 07:00:00,1.08,0.82,0,1.08,49.90712251255034
2025-04-02 07:15:00,0.32,0.87,0,0.32,50.03810358459469
2025-04-02 07:30:00,0.97,0.85,0,0.97,50.009525896148645
2025-04-02 07:45:00,0.98,0.8,0,0.98,49.966659363479586
2025-04-02 08:00:00,1.3,0.8,0,1.3,49.84758566162108
2025-04-02 08:15:00,0.8,0.81,0,0.8,49.849967135658254
2025-04-02 08:30:00,0.57,0.86,0,0.57,49.91902988273618
2025-04-02 08:45:00,0.92,0.8,0,0.92,49.89045219429014
2025-04-02 09:00:00,1.3,0.84,0,1.3,49.78090438858032
2025-04-02 09:15:00,0.95,0.77,0,0.95,49.73803785591126
2025-04-02 09:30:00,0.37,0.77,0,0.37,49.83329681739806
2025-04-02 09:45:00,0.94,0.77,0,0.94,49.79281175876617
2025-04-02 10:00:00,1.9,0.85,0,1.9,49.54275698486332
2025-04-02 10:15:00,1.82,0.88,0,1.82,49.31889842536933
2025-04-02 10:30:00,1.74,0.83,0,1.74,49.10218428798686
2025-04-02 10:45:00,1.33,0.9,0,1.33,48.999780904388544
2025-04-02 11:00:00,1.69,0.88,0,1.69,48.80688150737777
2025-04-02 11:15:00,1.59,0.87,0,1.59,48.63541537670152
2025-04-02 11:30:00,1.53,0.87,0,1.53,48.4782380902483
2025-04-02 11:45:00,2.14,0.86,0,2.14,48.17340941349053
2025-04-02 12:00:00,1.59,0.88,0,1.59,48.00432475685146
2025-04-02 12:15:00,1.04,0.87,0,1.04,47.963839698219566
2025-04-02 12:30:00,1.64,0.85,0,1.64,47.77570324928313
2025-04-02 12:45:00,0.77,0.85,0,0.77,47.794755041580494
2025-04-02 13:00:00,1.06,0.85,0,1.06,47.744744086799926
2025-04-02 13:15:00,1.81,0.87,0,1.81,47.52088552730594
2025-04-02 13:30:00,1.83,0.87,0,1.83,47.292264019737615
2025-04-02 13:45:00,1.7,0.85,0,1.7,47.08983872657816
2025-04-02 14:00:00,1.75,0.86,0,1.75,46.87788753727003
2025-04-02 14:15:00,1.2,0.88,0,1.2,46.80168036808058
2025-04-02 14:30:00,2.03,0.89,0,2.03,46.530192327843196
2025-04-02 14:45:00,1.88,0.86,0,1.88,46.28728197605185
