generation,solution,fitness
1,"[-0.6580119857541008, 0.06468633014762393]",[-73.24261105336711]
1,"[-0.07533904208277886, -0.6157203458536039]",[-79.93273365506697]
1,"[1.5728221171950607, -0.8856929228855428]",[-43.621159426097186]
1,"[-1.4789403380830917, 1.870045219930431]",[-49.71203383115787]
1,"[0.8914499312392312, 0.1960237934433191]",[-104.59179105083587]
1,"[1.912283858491349, -0.13826610903548553]",[-49.415455931336304]
1,"[-1.26408028470394, -0.288897773068586]",[-48.67567335320467]
1,"[-0.9624763083513762, 1.9773558520810077]",[-49.71203383115787]
1,"[1.609528228698756, 0.22283941344448155]",[-92.73484043348077]
2,"[0.9115624001459168, 0.10184186031500661]",[-148.69311077593844]
2,"[-0.9624763083513762, 0.20678759929277019]",[-105.82362346269396]
2,"[0.8914499312392312, 0.19538766888738646]",[-105.67441572291973]
2,"[0.8914499312392312, 0.1960237934433191]",[-104.59179105083587]
2,"[0.7654020004056701, 0.1960237934433191]",[-104.59179105083587]
2,"[1.609528228698756, 0.22283941344448155]",[-92.73484043348077]
2,"[-1.0078543131518825, 0.27163307323228425]",[-88.33915528096928]
2,"[-0.07533904208277886, -0.6157203458536039]",[-79.93273365506697]
2,"[-0.6580119857541008, 0.06468633014762393]",[-73.24261105336711]
3,"[0.9115624001459168, 0.10184186031500661]",[-148.69311077593844]
3,"[1.2429937684786627, 0.10184186031500661]",[-148.69311077593844]
3,"[-0.9624763083513762, 0.20678759929277019]",[-105.82362346269396]
3,"[-1.0726706833181776, 0.20694546265290303]",[-105.82362346269396]
3,"[0.8914499312392312, 0.19538766888738646]",[-105.67441572291973]
3,"[1.0017834877904708, 0.1952298055272536]",[-105.67441572291973]
3,"[0.8914499312392312, 0.1960237934433191]",[-104.59179105083587]
3,"[0.7654020004056701, 0.1960237934433191]",[-104.59179105083587]
3,"[0.7852043730719424, 0.2066429877668063]",[-95.31648033589298]
4,"[0.9115624001459168, 0.10184186031500661]",[-148.69311077593844]
4,"[1.2429937684786627, 0.10184186031500661]",[-148.69311077593844]
4,"[1.3067920842430398, 0.10208599024737508]",[-148.69311077593844]
4,"[0.9115624001459168, 0.11433318905739301]",[-147.86644442809285]
4,"[-0.9624763083513762, 0.20678759929277019]",[-105.82362346269396]
4,"[-1.0726706833181776, 0.20694546265290303]",[-105.82362346269396]
4,"[-1.2272342140344612, 0.2067013327205346]",[-105.82362346269396]
4,"[0.8914499312392312, 0.19538766888738646]",[-105.67441572291973]
4,"[1.0017834877904708, 0.1952298055272536]",[-105.67441572291973]
5,"[0.8695701487843794, 0.07908976368868004]",[-163.16664580445112]
5,"[0.2773551698609633, 0.10184186031500661]",[-158.83232563849063]
5,"[0.9115624001459168, 0.10184186031500661]",[-148.69311077593844]
