iter,grad
1,[174.51615935   0.        ]
2,[0. 0.]
3,[-92.31560782   0.        ]
4,[410.79966353   0.        ]
5,[-300.81118315    0.        ]
6,[349.03052832   0.        ]
7,[410.79966353   0.        ]
8,[0. 0.]
9,[-92.31560782   0.        ]
10,[-491.96069481    0.        ]
11,[349.03052832   0.        ]
12,[410.79966353   0.        ]
13,[410.79966353   0.        ]
14,[410.79966353   0.        ]
15,[410.79966353   0.        ]
16,[410.79966353   0.        ]
17,[410.79966353   0.        ]
17,[410.79966353   0.        ]
18,[410.79966353   0.        ]
18,[410.79966353   0.        ]
18,[410.79966353   0.        ]
18,[410.79966353   0.        ]
18,[410.79966353   0.        ]
18,[410.79966353   0.        ]
18,[410.79966353   0.        ]
18,[410.79966353   0.        ]
18,[410.79966353   0.        ]
