iter,grad
1,[0.89380602 0.        ]
2,[0. 0.]
3,[-23.03656975   0.        ]
4,[0.89380602 0.        ]
5,[0.89380602 0.        ]
6,[0.89380602 0.        ]
7,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
8,[0.89380602 0.        ]
