iter,grad
1,[ 0.         75.67529619]
2,[0. 0.]
3,[   0.         -143.88062519]
4,[  0.         168.02002153]
5,[ 0.         -1.13781118]
6,[  0.         179.32059242]
7,[  0.         179.32059242]
8,[  0.         212.19561111]
9,[  0.         150.43043787]
10,[  0.         212.19561111]
11,[0. 0.]
12,[  0.         -23.98378554]
13,[   0.         -184.62030317]
14,[  0.         149.09845256]
15,[  0.         212.19561111]
16,[  0.         212.19561111]
17,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
18,[  0.         212.19561111]
