iter,grad
1,[ 0.         32.06378577]
2,[0. 0.]
3,[ 0.         -4.29525641]
4,[ 0.         80.29109714]
5,[  0.        137.4483689]
6,[   0.         -242.99193788]
7,[  0.         126.12234122]
8,[ 0.         -9.88235383]
9,[ 0.         93.04093725]
10,[ 0.         -9.31424585]
11,[ 0.         95.14755627]
12,[ 0.         87.42520481]
13,[ 0.         -9.31424585]
14,[ 0.         95.14755627]
15,[ 0.         83.79326092]
16,[ 0.         87.42520481]
17,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
18,[ 0.         87.42520481]
19,[0. 0.]
20,[0. 0.]
21,[ 0.         -9.31424585]
22,[ 0.         95.14755627]
23,[ 0.         83.79326092]
24,[ 0.         87.42520481]
25,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
26,[ 0.         87.42520481]
