iter,grad
1,[  0.        120.2108533]
2,[20.8511909  0.       ]
3,[ 20.8511909  -17.18102563]
4,[  1.88060469 327.32032758]
5,[ 19.5007879  642.31304227]
6,[   20.8511909  -1021.78927969]
7,[ 24.7954809 582.1532433]
8,[  24.3743859  -224.45863037]
9,[ 24.7954809  534.59962499]
10,[ 24.7954809 582.1532433]
11,[0. 0.]
12,[-66.08336556   0.        ]
13,[ 290.92350625 -269.78136499]
14,[ 664.8095606  -536.51957094]
15,[ 290.92350625 -252.8622221 ]
16,[ 290.92350625 -269.78136499]
17,[ 290.92350625 -269.78136499]
18,[ 290.92350625 -269.78136499]
19,[ 290.92350625 -269.78136499]
20,[ 290.92350625 -269.78136499]
21,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
23,[0. 0.]
24,[0. 0.]
25,[ 457.77581131 1169.85759911]
26,[468.98104932 222.28651415]
27,[-205.89742541  780.94259618]
28,[303.45348847 214.0931227 ]
29,[458.47730233 182.78550509]
30,[465.6748577  222.76210354]
31,[468.98104932 222.28651415]
32,[468.98104932 222.28651415]
33,[468.98104932 222.28651415]
34,[468.98104932 222.28651415]
34,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
35,[468.98104932 222.28651415]
36,[0. 0.]
37,[-92.31560782   0.        ]
38,[ 509.39854628 -400.48029647]
39,[ 430.87814851 -159.70525934]
40,[465.6748577  188.31272276]
41,[468.98104932 203.62622614]
42,[468.98104932 222.28651415]
43,[468.98104932 222.28651415]
44,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
45,[468.98104932 222.28651415]
