generation,solution,fitness
1,"[1.3145311682857939, 0.7296619703761236]",[-24.574330042369237]
1,"[1.1934842165230348, 1.7600352747815626]",[-16.93206602084921]
1,"[0.5913199922891925, 0.09368262426173546]",[-31.28874682168556]
1,"[0.15044064455069606, 1.3189105746349075]",[-16.93206602084921]
1,"[-1.263304137674835, -0.42445698953800637]",[-15.23518389035551]
1,"[-1.0514914159148447, -1.0738995161163247]",[-15.23518389035551]
1,"[1.6429455610626404, -1.315351806310382]",[-16.81098290572484]
1,"[-0.5020118886151921, 0.9311204070107446]",[-23.913808389828745]
1,"[-0.09099154084789185, -0.32613466510870714]",[-17.211477296381403]
2,"[1.3145311682857939, 0.7296619703761236]",[-24.574330042369237]
2,"[1.1934842165230348, 1.7600352747815626]",[-16.93206602084921]
2,"[0.5913199922891925, 0.09368262426173546]",[-31.28874682168556]
2,"[0.40502195546131514, 0.6014685746349074]",[-24.574330042369237]
2,"[-1.03982872680398, 0.12413892456882547]",[-30.628225169145065]
2,"[-1.0514914159148447, -1.0738995161163247]",[-15.23518389035551]
2,"[1.6429455610626404, -1.315351806310382]",[-16.81098290572484]
2,"[-0.08888002686427782, 0.43425017078312034]",[-24.884097935196717]
2,"[0.29288987861566396, 0.3913073348912929]",[-24.574330042369237]
3,"[0.5303082163783622, 0.07898519298756729]",[-31.679628313361338]
3,"[0.6207377833557678, 0.32515127478156247]",[-24.574330042369237]
3,"[0.5913199922891925, 0.09368262426173546]",[-31.28874682168556]
3,"[0.40502195546131514, 0.6014685746349074]",[-24.574330042369237]
3,"[-1.03982872680398, 0.12413892456882547]",[-30.628225169145065]
3,"[-0.5561673300317737, 0.032456318317957034]",[-33.597244216216126]
3,"[1.6429455610626404, -1.315351806310382]",[-16.81098290572484]
3,"[-0.08888002686427782, 0.43425017078312034]",[-24.884097935196717]
3,"[0.29288987861566396, 0.3913073348912929]",[-24.574330042369237]
4,"[0.5303082163783622, 0.07898519298756729]",[-31.679628313361338]
4,"[0.6207377833557678, 0.32515127478156247]",[-24.574330042369237]
4,"[0.5913199922891925, 0.09368262426173546]",[-31.28874682168556]
4,"[-0.006794854132820993, 0.26342012557595557]",[-25.0742149356705]
4,"[-0.23452946669810887, 0.0008056976375265257]",[-32.02162496328118]
4,"[-0.5561673300317737, 0.032456318317957034]",[-33.597244216216126]
4,"[1.6429455610626404, -1.315351806310382]",[-16.81098290572484]
4,"[-0.08888002686427782, 0.43425017078312034]",[-24.884097935196717]
4,"[-0.04397074785033628, 0.3526353750632119]",[-24.884097935196717]
5,"[0.5303082163783622, 0.07898519298756729]",[-31.679628313361338]
5,"[0.6207377833557678, 0.32515127478156247]",[-24.574330042369237]
5,"[0.5913199922891925, 0.09368262426173546]",[-31.28874682168556]
5,"[-0.724236854132821, 0.13439824447949036]",[-30.368231796817145]
5,"[-0.23452946669810887, 0.0008056976375265257]",[-32.02162496328118]
5,"[-0.5561673300317737, 0.032456318317957034]",[-33.597244216216126]
5,"[0.6726054586703105, -0.12286360140496]",[-19.209361460064276]
5,"[-0.08888002686427782, 0.43425017078312034]",[-24.884097935196717]
5,"[-0.04397074785033628, 0.3526353750632119]",[-24.884097935196717]
6,"[0.5303082163783622, 0.07898519298756729]",[-31.679628313361338]
6,"[-0.10091497935063082, 0.5633947996096318]",[-24.884097935196717]
6,"[0.3095398678063467, 0.027179971721990936]",[-35.688910332936814]
6,"[-0.724236854132821, 0.13439824447949036]",[-30.368231796817145]
6,"[-0.6633449294659108, 0.0618205466990954]",[-32.415752881925535]
6,"[-0.5561673300317737, 0.032456318317957034]",[-33.597244216216126]
6,"[0.046925152001525916, 0.3407602004118339]",[-24.9401987845192]
6,"[-0.08888002686427782, 0.43425017078312034]",[-24.884097935196717]
6,"[-0.04397074785033628, 0.3526353750632119]",[-24.884097935196717]
7,"[0.5303082163783622, 0.07898519298756729]",[-31.679628313361338]
7,"[0.6165270206493692, 0.049178514700963794]",[-33.07627453446604]
7,"[0.3095398678063467, 0.027179971721990936]",[-35.688910332936814]
