generation,solution,fitness
1,"[1.3145311682857939, 0.7296619703761236]",[-79.9093261242701]
1,"[1.1934842165230348, 1.7600352747815626]",[-50.658144959179594]
1,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
1,"[0.15044064455069606, 1.3189105746349075]",[-50.658144959179594]
1,"[-1.263304137674835, -0.42445698953800637]",[-48.67567335320467]
1,"[-1.0514914159148447, -1.0738995161163247]",[-48.67567335320467]
1,"[1.6429455610626404, -1.315351806310382]",[-43.621159426097186]
1,"[-0.5020118886151921, 0.9311204070107446]",[-65.84035813797024]
1,"[-0.09099154084789185, -0.32613466510870714]",[-71.69494365076537]
2,"[1.3145311682857939, 0.7296619703761236]",[-79.9093261242701]
2,"[0.4760422165230348, 1.0425932747815625]",[-58.47637388237651]
2,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
2,"[0.40502195546131514, 0.6014685746349074]",[-79.9093261242701]
2,"[-1.03982872680398, 0.12413892456882547]",[-78.63183603341162]
2,"[-1.0514914159148447, -1.0738995161163247]",[-48.67567335320467]
2,"[1.6429455610626404, -1.315351806310382]",[-43.621159426097186]
2,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
2,"[0.29288987861566396, 0.3913073348912929]",[-79.9093261242701]
3,"[0.5303082163783622, 0.07321368111716203]",[-170.00599924831056]
3,"[0.22764314047099013, 0.32515127478156247]",[-79.9093261242701]
3,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
3,"[0.40502195546131514, 0.6014685746349074]",[-79.9093261242701]
3,"[-0.32238672680398006, 0.31363917558503523]",[-83.3966129682205]
3,"[-0.5456011174757055, 0.043022530874025244]",[-73.24261105336711]
3,"[0.8154070726917185, -0.20945448302294]",[-52.38512180715008]
3,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
3,"[0.29288987861566396, 0.3913073348912929]",[-79.9093261242701]
4,"[0.5303082163783622, 0.07321368111716203]",[-170.00599924831056]
4,"[0.22764314047099013, 0.32515127478156247]",[-79.9093261242701]
4,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
4,"[0.6530605147338238, 0.2548953848866833]",[-86.70290237743495]
4,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
4,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
4,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
4,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
4,"[0.29288987861566396, 0.3913073348912929]",[-79.9093261242701]
5,"[0.008362528804150393, 0.008690651445729246]",[-192.92304645660647]
5,"[0.13648506018002673, 0.4643960015443901]",[-80.97934649630716]
5,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
5,"[-0.008045923258484522, 0.28005927114185236]",[-96.67852479105423]
5,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
5,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
5,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
5,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
5,"[0.29288987861566396, 0.3913073348912929]",[-79.9093261242701]
6,"[-0.009192830992936711, 0.1376750215986796]",[-212.4565829991488]
6,"[0.09240391360431555, 0.5264590840308616]",[-81.82346491130241]
6,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
6,"[-0.021800306851891438, 0.1689151146589639]",[-168.8337298547504]
6,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
6,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
6,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
6,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
6,"[-0.13398953163908067, 0.06486920821229542]",[-89.10901184666439]
7,"[-0.009192830992936711, 0.1376750215986796]",[-212.4565829991488]
7,"[-0.08471563794373951, 0.06809124180375059]",[-100.35460187168798]
7,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
7,"[-0.021800306851891438, 0.1689151146589639]",[-168.8337298547504]
7,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
7,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
7,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
7,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
7,"[-0.13398953163908067, 0.06486920821229542]",[-89.10901184666439]
8,"[-0.009192830992936711, 0.1376750215986796]",[-212.4565829991488]
8,"[-0.08471563794373951, 0.06809124180375059]",[-100.35460187168798]
8,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
8,"[-0.0096721788122918, 0.15899258083937517]",[-202.26343262054718]
8,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
8,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
8,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
8,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
8,"[0.19902339617415804, 0.09756707100379772]",[-184.10686962248394]
9,"[0.08556724768899304, 0.13931339300706502]",[-228.38013148083965]
9,"[0.04523331969764047, 0.16356923904938292]",[-206.27727547418849]
9,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
9,"[0.09368278826055795, 0.14607234024063248]",[-209.32153197344408]
9,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
9,"[-0.07516905667613331, 0.3133239764537264]",[-98.67974587640728]
9,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
9,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
9,"[0.19902339617415804, 0.09756707100379772]",[-184.10686962248394]
10,"[0.08556724768899304, 0.13931339300706502]",[-228.38013148083965]
10,"[0.04523331969764047, 0.16356923904938292]",[-206.27727547418849]
10,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
10,"[0.11137305949934795, 0.12277920962548818]",[-235.3595450391976]
10,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
10,"[0.06810958839449084, -0.0004305863310141156]",[-197.07510144659574]
10,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
10,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
10,"[0.19902339617415804, 0.09756707100379772]",[-184.10686962248394]
