generation,solution,fitness
1,"[-0.11496833325917977, -0.5336085832244073]",[-16.600519961398835]
1,"[0.9532559289198153, -0.8510674297349108]",[-10.905289856524297]
1,"[1.3909341696595896, 1.1838051314710416]",[-12.664536239794899]
1,"[-1.231075730249564, 0.8096316609715957]",[-20.109573185544562]
1,"[-1.1323461500735825, -1.1731072086936767]",[-12.168918338301168]
1,"[0.20446185902042546, 0.15525285221305274]",[-31.618762735981367]
1,"[-0.740470331578076, 1.7102797585196101]",[-12.428008457789467]
1,"[1.827469281707872, -0.08727407099848228]",[-12.353863982834076]
1,"[0.7009135031283034, 1.607661301447194]",[-12.664536239794899]
2,"[0.3337809123765699, 0.0891752377054359]",[-43.62585872223123]
2,"[0.7501856244153935, -0.13362542973491076]",[-14.125400731141552]
2,"[1.543457338894278, 0.637518433629879]",[-19.977331531067524]
2,"[-0.513633730249564, 0.19399478115220214]",[-24.933643935683854]
2,"[-1.1323461500735825, -1.1731072086936767]",[-12.168918338301168]
2,"[0.20446185902042546, 0.15525285221305274]",[-31.618762735981367]
2,"[-0.023028331578075933, 0.9928377585196101]",[-16.19897464657067]
2,"[1.1454963410736214, 0.39102523412287826]",[-19.977331531067524]
2,"[0.6456050279429368, 0.8902193014471941]",[-16.331091875974135]
3,"[0.3337809123765699, 0.0891752377054359]",[-43.62585872223123]
3,"[0.23580345816214088, 0.15321115504772975]",[-32.3315481495287]
3,"[1.4799648079338206, 0.04893430716348057]",[-39.62771744518069]
3,"[0.01712873422938388, -0.12463609503624379]",[-37.3524323055225]
3,"[-1.1323461500735825, -1.1731072086936767]",[-12.168918338301168]
3,"[0.20446185902042546, 0.15525285221305274]",[-31.618762735981367]
3,"[0.6944136684219241, 0.27539575851961007]",[-21.490202490765274]
3,"[1.1454963410736214, 0.39102523412287826]",[-19.977331531067524]
3,"[0.5977868635484028, 0.41196103096633824]",[-19.977331531067524]
4,"[0.3337809123765699, 0.0891752377054359]",[-43.62585872223123]
4,"[0.23580345816214088, 0.15321115504772975]",[-32.3315481495287]
4,"[1.4799648079338206, 0.04893430716348057]",[-39.62771744518069]
4,"[0.4852520307245694, 0.031119600157199057]",[-40.23189648894131]
4,"[-0.23933504103990189, -0.9461266011312816]",[-14.476808533759604]
4,"[0.20446185902042546, 0.15525285221305274]",[-31.618762735981367]
4,"[0.6944136684219241, 0.27539575851961007]",[-21.490202490765274]
4,"[0.5121973774737641, 0.20119107075833847]",[-26.030066713403937]
4,"[0.4084764101759876, -0.014845441556062211]",[-22.840542420195213]
5,"[0.3337809123765699, 0.0891752377054359]",[-43.62585872223123]
5,"[0.40262478640310884, 0.03928762263166716]",[-42.27300949213336]
5,"[1.4799648079338206, 0.04893430716348057]",[-39.62771744518069]
5,"[0.4852520307245694, 0.031119600157199057]",[-40.23189648894131]
5,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
5,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
5,"[0.6944136684219241, 0.27539575851961007]",[-21.490202490765274]
5,"[0.5121973774737641, 0.20119107075833847]",[-26.030066713403937]
5,"[0.4084764101759876, -0.014845441556062211]",[-22.840542420195213]
6,"[0.32420593074099935, 0.09073053766356277]",[-43.633667776228705]
6,"[0.40262478640310884, 0.03928762263166716]",[-42.27300949213336]
6,"[1.4799648079338206, 0.04893430716348057]",[-39.62771744518069]
6,"[0.4852520307245694, 0.031119600157199057]",[-40.23189648894131]
6,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
6,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
6,"[0.5435215907833555, 0.22552838667215824]",[-23.183710108370192]
6,"[0.5121973774737641, 0.20119107075833847]",[-26.030066713403937]
6,"[0.19744101903182565, 0.06038217988630022]",[-45.09545155152819]
7,"[0.32420593074099935, 0.09073053766356277]",[-43.633667776228705]
7,"[0.40262478640310884, 0.03928762263166716]",[-42.27300949213336]
7,"[1.4799648079338206, 0.04893430716348057]",[-39.62771744518069]
7,"[0.4852520307245694, 0.031119600157199057]",[-40.23189648894131]
7,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
7,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
7,"[0.30011351228556066, 0.026658117001859105]",[-39.03868285388657]
7,"[0.5121973774737641, 0.20119107075833847]",[-26.030066713403937]
7,"[0.14457217648269485, 0.08952241199517469]",[-53.196573017278794]
8,"[0.32420593074099935, 0.09073053766356277]",[-43.633667776228705]
8,"[0.3807513934223301, 0.08480971212181765]",[-43.70325990167337]
8,"[1.4799648079338206, 0.04893430716348057]",[-39.62771744518069]
8,"[0.4852520307245694, 0.031119600157199057]",[-40.23189648894131]
8,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
8,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
8,"[0.11466682177606233, -0.01834357708214232]",[-41.989395352301905]
8,"[0.5121973774737641, 0.20119107075833847]",[-26.030066713403937]
8,"[0.14457217648269485, 0.08952241199517469]",[-53.196573017278794]
9,"[0.32420593074099935, 0.09073053766356277]",[-43.633667776228705]
9,"[0.3807513934223301, 0.08480971212181765]",[-43.70325990167337]
9,"[1.4799648079338206, 0.04893430716348057]",[-39.62771744518069]
9,"[0.343602500068256, 0.060201152963445526]",[-42.6471131545543]
9,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
