iter,grad
1,[  0.        120.2108533]
2,[20.8511909  0.       ]
3,[ 20.8511909  -17.18102563]
4,[  1.88060469 327.32032758]
5,[ 19.5007879  642.31304227]
6,[   20.8511909  -1021.78927969]
7,[ 24.7954809 582.1532433]
8,[  24.3743859  -224.45863037]
9,[ 24.7954809  534.59962499]
10,[ 24.7954809 582.1532433]
11,[0. 0.]
12,[-66.08336556   0.        ]
13,[ 290.92350625 -269.78136499]
14,[ 664.8095606  -536.51957094]
15,[ 290.92350625 -252.8622221 ]
16,[ 290.92350625 -269.78136499]
17,[ 290.92350625 -269.78136499]
18,[ 290.92350625 -269.78136499]
19,[ 290.92350625 -269.78136499]
20,[ 290.92350625 -269.78136499]
21,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
22,[ 290.92350625 -269.78136499]
