x1,x2,fitness
0.0,0.0,-192.92304645660647
0.0,0.02,-192.92304645660647
0.0,0.04,-202.4155318729245
0.0,0.06,-203.7555307316394
0.0,0.08,-205.13867656914292
0.0,0.1,-210.31930395431647
0.18,0.06,-183.25741235759605
0.18,0.08,-186.74066082206429
0.18,0.1,-186.47868792894457
0.18,0.12,-162.00863155466408
0.18,0.14,-143.35957380888394
0.18,0.16,-120.0693138675334
0.32,0.12,-147.59570366227516
0.32,0.14,-140.53018369103904
0.32,0.16,-119.64922016393945
0.34,0.0,-154.78069903660088
0.34,0.02,-154.78069903660088
0.34,0.04,-168.40102505497137
0.36,0.1,-166.1444010997573
0.36,0.12,-147.59570366227516
0.36,0.14,-140.53018369103904
0.36,0.16,-119.64922016393945
0.36,0.18,-118.44963846797305
0.42,0.0,-151.21929354906663
0.42,0.02,-151.21929354906663
0.42,0.04,-164.86236676743712
0.42,0.06,-167.04979433068294
0.42,0.08,-170.51308981975978
0.5,0.1,-162.71289561222306
0.5,0.12,-146.66534522853644
0.5,0.14,-139.82967850730032
0.5,0.16,-118.94871498020072
0.5,0.18,-117.74913328423432
0.6,0.1,-162.71289561222306
0.6,0.12,-146.66534522853644
0.6,0.14,-139.82967850730032
0.6,0.16,-118.94871498020072
0.6,0.18,-117.74913328423432
0.32,0.1,-166.1444010997573
0.32,0.12,-147.59570366227516
0.32,0.14,-140.53018369103904
0.32,0.16,-119.64922016393945
0.32,0.18,-118.44963846797305
0.4599999999999999,0.0,-151.21929354906663
0.4599999999999999,0.02,-151.21929354906663
0.4599999999999999,0.04,-164.86236676743712
0.4599999999999999,0.06,-167.04979433068294
0.4599999999999999,0.08,-170.51308981975978
0.56,0.0,-151.21929354906663
0.56,0.02,-151.21929354906663
0.56,0.04,-164.86236676743712
0.56,0.06,-167.04979433068294
0.56,0.08,-170.51308981975978
0.3399999999999999,0.1,-166.1444010997573
0.3399999999999999,0.12,-147.59570366227516
0.3399999999999999,0.14,-140.53018369103904
0.3399999999999999,0.16,-119.64922016393945
0.3399999999999999,0.18,-118.44963846797305
0.44,0.0,-151.21929354906663
0.44,0.02,-151.21929354906663
0.44,0.04,-164.86236676743712
0.44,0.06,-167.04979433068294
0.44,0.08,-170.51308981975978
0.52,0.0,-151.21929354906663
0.52,0.02,-151.21929354906663
0.52,0.04,-164.86236676743712
0.52,0.06,-167.04979433068294
0.52,0.08,-170.51308981975978
0.6,0.0,-151.21929354906663
0.6,0.02,-151.21929354906663
0.6,0.04,-164.86236676743712
0.6,0.06,-167.04979433068294
0.6,0.08,-170.51308981975978
0.3,0.0,-154.78069903660088
0.3,0.02,-154.78069903660088
0.3,0.04,-168.40102505497137
0.3,0.06,-170.5884526182172
0.3,0.08,-174.184953607294
0.44,0.1,-162.71289561222306
0.44,0.12,-146.66534522853644
0.44,0.14,-139.82967850730032
0.44,0.16,-118.94871498020072
0.44,0.18,-117.74913328423432
0.52,0.1,-162.71289561222306
0.52,0.12,-146.66534522853644
0.52,0.14,-139.82967850730032
0.52,0.16,-118.94871498020072
0.52,0.18,-117.74913328423432
0.0,0.12,-217.00361798709497
0.0,0.14,-208.30415111278523
0.0,0.16,-210.17079025895083
0.02,0.0,-192.92304645660647
0.02,0.02,-192.92304645660647
0.02,0.04,-202.4155318729245
0.16,0.12,-197.24614957941776
0.16,0.14,-179.72190720040942
0.16,0.16,-141.59433995009192
0.18,0.0,-167.36355427597974
0.18,0.02,-167.36355427597974
0.18,0.04,-181.0699847943502
0.28,0.12,-147.59570366227516
0.28,0.14,-140.53018369103904
0.28,0.16,-119.64922016393945
0.3,0.0,-154.78069903660088
0.3,0.02,-154.78069903660088
0.3,0.04,-168.40102505497137
0.4,0.12,-147.59570366227516
0.4,0.14,-140.53018369103904
0.4,0.16,-119.64922016393945
0.04,0.0,-195.6106959486843
0.04,0.02,-195.6106959486843
0.04,0.04,-204.8157361465266
0.04,0.06,-205.76185033718696
0.04,0.08,-206.70602590514912
0.04,0.1,-222.0661818027588
0.12,0.12,-241.6016595617306
0.12,0.14,-217.2316828885793
0.12,0.16,-159.82794552918497
0.14,0.0,-192.69408243935797
0.14,0.02,-192.69408243935797
0.14,0.04,-204.69286682658012
0.26,0.06,-170.5884526182172
0.26,0.08,-174.184953607294
0.26,0.1,-166.1444010997573
0.26,0.12,-147.59570366227516
0.26,0.14,-140.53018369103904
0.26,0.16,-119.64922016393945
0.4,0.0,-154.78069903660088
0.4,0.02,-154.78069903660088
0.4,0.04,-168.40102505497137
0.4,0.06,-170.5884526182172
0.4,0.08,-174.184953607294
0.4,0.1,-166.1444010997573
0.32,0.0,-154.78069903660088
0.32,0.02,-154.78069903660088
0.32,0.04,-168.40102505497137
0.32,0.06,-170.5884526182172
0.32,0.08,-174.184953607294
0.42,0.1,-162.71289561222306
0.42,0.12,-146.66534522853644
0.42,0.14,-139.82967850730032
0.42,0.16,-118.94871498020072
0.42,0.18,-117.74913328423432
0.54,0.0,-151.21929354906663
0.54,0.02,-151.21929354906663
0.54,0.04,-164.86236676743712
0.54,0.06,-167.04979433068294
0.54,0.08,-170.51308981975978
0.38,0.0,-154.78069903660088
0.38,0.02,-154.78069903660088
0.38,0.04,-168.40102505497137
0.38,0.06,-170.5884526182172
0.38,0.08,-174.184953607294
0.4,0.0,-154.78069903660088
0.4,0.02,-154.78069903660088
0.4,0.04,-168.40102505497137
0.4,0.06,-170.5884526182172
0.4,0.08,-174.184953607294
0.48,0.0,-151.21929354906663
0.48,0.02,-151.21929354906663
0.48,0.04,-164.86236676743712
0.48,0.06,-167.04979433068294
0.48,0.08,-170.51308981975978
0.56,0.1,-162.71289561222306
0.56,0.12,-146.66534522853644
0.56,0.14,-139.82967850730032
0.56,0.16,-118.94871498020072
0.56,0.18,-117.74913328423432
0.08,0.12,-239.6603052785739
0.08,0.14,-228.5013067386904
0.08,0.16,-205.11431429102507
0.1,0.0,-208.79884617395237
0.1,0.02,-208.79884617395237
0.1,0.04,-218.3668653847704
0.2,0.12,-157.10788912778938
0.2,0.14,-142.0943633502212
0.2,0.16,-119.89184906556692
0.22,0.0,-159.38127815406577
0.22,0.02,-159.38127815406577
0.22,0.04,-173.04371367243624
0.32,0.0,-154.78069903660088
0.32,0.02,-154.78069903660088
0.32,0.04,-168.40102505497137
0.32,0.06,-170.5884526182172
0.32,0.08,-174.184953607294
0.32,0.1,-166.1444010997573
0.36,0.0,-154.78069903660088
0.36,0.02,-154.78069903660088
0.36,0.04,-168.40102505497137
0.36,0.06,-170.5884526182172
0.36,0.08,-174.184953607294
0.38,0.1,-166.1444010997573
0.38,0.12,-147.59570366227516
0.38,0.14,-140.53018369103904
0.38,0.16,-119.64922016393945
0.38,0.18,-118.44963846797305
0.48,0.1,-162.71289561222306
0.48,0.12,-146.66534522853644
0.48,0.14,-139.82967850730032
0.48,0.16,-118.94871498020072
0.48,0.18,-117.74913328423432
0.5800000000000001,0.0,-151.21929354906663
0.5800000000000001,0.02,-151.21929354906663
0.5800000000000001,0.04,-164.86236676743712
0.5800000000000001,0.06,-167.04979433068294
0.5800000000000001,0.08,-170.51308981975978
0.04,0.12,-226.60066854716996
0.04,0.14,-217.9477552986133
0.04,0.16,-209.02161271018187
0.06,0.0,-196.94868264679224
0.06,0.02,-196.94868264679224
0.06,0.04,-205.4080707911356
0.14,0.06,-207.2331050549581
0.14,0.08,-211.52766948768445
0.14,0.1,-212.6616971008665
0.14,0.12,-198.513240214148
0.14,0.14,-181.99800974055344
0.14,0.16,-141.77993926052233
0.24,0.0,-157.21813762686568
0.24,0.02,-157.21813762686568
0.24,0.04,-170.88057314523618
0.24,0.06,-173.068000708482
0.24,0.08,-176.66450169755882
0.24,0.1,-169.8316255900221
0.36,0.0,-154.78069903660088
0.36,0.02,-154.78069903660088
0.36,0.04,-168.40102505497137
0.36,0.06,-170.5884526182172
0.36,0.08,-174.184953607294
