DATA
Date,Price_Shortage,Price_Surplus
2007-01-01 00:00:00,-0.2094,-0.2094
2007-01-01 00:15:00,-0.0233,-0.0233
2007-01-01 00:30:00,-0.02562,-0.02562
2007-01-01 00:45:00,-0.04062,-0.04062
2007-01-01 01:00:00,0.03278,0.03278
2007-01-01 01:15:00,0.03506,0.03506
2007-01-01 01:30:00,0.03,0.03
2007-01-01 01:45:00,0.03,0.03
2007-01-01 02:00:00,0.03,0.03
2007-01-01 02:15:00,0.03,0.03
2007-01-01 02:30:00,0.03,0.03
2007-01-01 02:45:00,-0.01046,-0.01046
2007-01-01 03:00:00,-0.02307,-0.02307
2007-01-01 03:15:00,-0.01419,-0.01419
2007-01-01 03:30:00,-0.02769,-0.02769
2007-01-01 03:45:00,-0.02019,-0.02019
2007-01-01 04:00:00,-0.02147,-0.02147
2007-01-01 04:15:00,-0.02227,-0.02227
2007-01-01 04:30:00,-0.02118,-0.02118
2007-01-01 04:45:00,-0.03162,-0.03162
2007-01-01 05:00:00,-0.04467,-0.04467
2007-01-01 05:15:00,-0.03093,-0.03093
2007-01-01 05:30:00,-0.02066,-0.02066
2007-01-01 05:45:00,-0.02064,-0.02064
2007-01-01 06:00:00,-0.03691,-0.03691
2007-01-01 06:15:00,-0.01485,-0.01485
2007-01-01 06:30:00,-0.01062,-0.01062
2007-01-01 06:45:00,-0.3575,-0.3575
2007-01-01 07:00:00,-0.30167,-0.30167
2007-01-01 07:15:00,-0.14794,-0.14794
2007-01-01 07:30:00,-0.05918,-0.05918
2007-01-01 07:45:00,-0.0541,-0.0541
2007-01-01 08:00:00,-0.13181,-0.13181
2007-01-01 08:15:00,-0.04519,-0.04519
2007-01-01 08:30:00,-0.02769,-0.02769
2007-01-01 08:45:00,-0.03669,-0.03669
2007-01-01 09:00:00,-0.18389,-0.18389
2007-01-01 09:15:00,-0.02097,-0.02097
2007-01-01 09:30:00,-0.01062,-0.01062
2007-01-01 09:45:00,-0.01562,-0.01562
2007-01-01 10:00:00,0.06706,-0.02562
2007-01-01 10:15:00,-0.02562,-0.02562
2007-01-01 10:30:00,-0.05,-0.05
2007-01-01 10:45:00,-0.05,-0.05
2007-01-01 11:00:00,-0.04604,-0.04604
2007-01-01 11:15:00,-0.2075,-0.2075
2007-01-01 11:30:00,-0.2075,-0.2075
2007-01-01 11:45:00,-0.17,-0.17
2007-01-01 12:00:00,-0.04062,-0.04062
2007-01-01 12:15:00,-0.02562,-0.02562
2007-01-01 12:30:00,0.02732,0.02732
2007-01-01 12:45:00,-0.06062,-0.06062
2007-01-01 13:00:00,-0.14,-0.14
2007-01-01 13:15:00,-0.01562,-0.01562
2007-01-01 13:30:00,-0.01562,-0.01562
2007-01-01 13:45:00,0.03,0.03
2007-01-01 14:00:00,0.06486,-0.12746
2007-01-01 14:15:00,-0.01419,-0.01419
2007-01-01 14:30:00,0.08508,0.08508
2007-01-01 14:45:00,0.15938,0.15938
2007-01-01 15:00:00,-0.00519,-0.00519
2007-01-01 15:15:00,-0.00519,-0.00519
2007-01-01 15:30:00,0.20638,0.20638
2007-01-01 15:45:00,0.23138,0.23138
2007-01-01 16:00:00,-0.00669,-0.00669
2007-01-01 16:15:00,-0.00519,-0.00519
2007-01-01 16:30:00,0.18138,0.18138
2007-01-01 16:45:00,0.98777,0.98777
2007-01-01 17:00:00,0.16638,0.16638
2007-01-01 17:15:00,0.03424,0.03424
2007-01-01 17:30:00,0.07367,0.07367
2007-01-01 17:45:00,-0.00669,-0.00669
2007-01-01 18:00:00,-0.02554,-0.02554
2007-01-01 18:15:00,-0.01819,-0.01819
2007-01-01 18:30:00,-0.04204,-0.04204
2007-01-01 18:45:00,-0.24776,-0.24776
2007-01-01 19:00:00,-0.3,-0.3
2007-01-01 19:15:00,-0.3,-0.3
2007-01-01 19:30:00,-0.3,-0.3
2007-01-01 19:45:00,-0.3,-0.3
2007-01-01 20:00:00,-0.05254,-0.05254
2007-01-01 20:15:00,-0.03189,-0.03189
2007-01-01 20:30:00,-0.24776,-0.24776
2007-01-01 20:45:00,-0.24776,-0.24776
2007-01-01 21:00:00,0.09142,0.09142
2007-01-01 21:15:00,0.09142,0.09142
2007-01-01 21:30:00,0.12676,0.12676
2007-01-01 21:45:00,0.13874,0.13874
2007-01-01 22:00:00,0.18138,0.18138
2007-01-01 22:15:00,0.196,0.196
2007-01-01 22:30:00,0.18143,0.18143
2007-01-01 22:45:00,0.16684,0.16684
2007-01-01 23:00:00,0.16002,0.16002
2007-01-01 23:15:00,-0.04204,-0.04204
2007-01-01 23:30:00,-0.24776,-0.24776
2007-01-01 23:45:00,-0.24776,-0.24776
2007-01-02 00:00:00,-0.7,-0.7
2007-01-02 00:15:00,-0.7,-0.7
2007-01-02 00:30:00,-0.35626,-0.35626
2007-01-02 00:45:00,-0.7,-0.7
2007-01-02 01:00:00,-0.0671,-0.0671
2007-01-02 01:15:00,0.09701,0.09701
2007-01-02 01:30:00,0.1099,0.1099
2007-01-02 01:45:00,0.15445,0.15445
2007-01-02 02:00:00,0.16638,0.16638
2007-01-02 02:15:00,0.14873,0.14873
2007-01-02 02:30:00,0.15686,0.15686
2007-01-02 02:45:00,-0.01562,-0.01562
2007-01-02 03:00:00,-0.01562,-0.01562
2007-01-02 03:15:00,-0.02982,-0.02982
2007-01-02 03:30:00,-0.05,-0.05
2007-01-02 03:45:00,-0.07785,-0.07785
2007-01-02 04:00:00,-0.11332,-0.11332
2007-01-02 04:15:00,-0.08825,-0.08825
2007-01-02 04:30:00,-0.11332,-0.11332
2007-01-02 04:45:00,-0.3048,-0.3048
2007-01-02 05:00:00,-0.7,-0.7
2007-01-02 05:15:00,-0.7,-0.7
2007-01-02 05:30:00,-0.7,-0.7
2007-01-02 05:45:00,-0.26956,-0.26956
2007-01-02 06:00:00,-0.7,-0.7
2007-01-02 06:15:00,-0.56017,-0.56017
2007-01-02 06:30:00,-0.7,-0.7
2007-01-02 06:45:00,-0.03974,-0.03974
2007-01-02 07:00:00,-0.01504,-0.01504
2007-01-02 07:15:00,-0.00519,-0.00519
2007-01-02 07:30:00,0.10606,0.10606
2007-01-02 07:45:00,0.06505,0.06505
2007-01-02 08:00:00,-0.04,-0.04
2007-01-02 08:15:00,-0.00519,-0.00519
2007-01-02 08:30:00,0.10331,0.10331
2007-01-02 08:45:00,0.10031,0.10031
2007-01-02 09:00:00,-0.01419,-0.01419
2007-01-02 09:15:00,0.07868,0.07868
2007-01-02 09:30:00,0.10533,0.10533
2007-01-02 09:45:00,0.14852,0.14852
2007-01-02 10:00:00,0.10331,0.10331
2007-01-02 10:15:00,-0.01419,-0.01419
2007-01-02 10:30:00,0.04729,0.04729
2007-01-02 10:45:00,-0.01419,-0.01419
2007-01-02 11:00:00,-0.04062,-0.04062
2007-01-02 11:15:00,-0.04,-0.04
2007-01-02 11:30:00,-0.04062,-0.04062
2007-01-02 11:45:00,0.07392,0.07392
2007-01-02 12:00:00,0.10121,0.10121
2007-01-02 12:15:00,0.13638,0.13638
2007-01-02 12:30:00,0.14329,0.14329
2007-01-02 12:45:00,0.14329,0.14329
2007-01-02 13:00:00,0.14329,0.14329
2007-01-02 13:15:00,0.14329,0.14329
2007-01-02 13:30:00,0.14329,0.14329
2007-01-02 13:45:00,0.14329,0.14329
2007-01-02 14:00:00,0.14329,0.14329
2007-01-02 14:15:00,0.14329,0.14329
2007-01-02 14:30:00,0.1302,0.1302
2007-01-02 14:45:00,0.1152,0.1152
2007-01-02 15:00:00,0.10698,0.10698
2007-01-02 15:15:00,0.14325,0.14325
2007-01-02 15:30:00,0.14892,0.14892
2007-01-02 15:45:00,-0.02087,-0.02087
2007-01-02 16:00:00,-0.00969,-0.00969
2007-01-02 16:15:00,0.1187,0.1187
2007-01-02 16:30:00,-0.03859,-0.03859
2007-01-02 16:45:00,0.10248,0.10248
2007-01-02 17:00:00,0.09798,0.09798
2007-01-02 17:15:00,0.07138,0.07138
2007-01-02 17:30:00,0.07916,0.07916
2007-01-02 17:45:00,0.08655,0.08655
2007-01-02 18:00:00,0.13638,0.13638
2007-01-02 18:15:00,0.15454,0.15454
2007-01-02 18:30:00,0.15211,0.15211
2007-01-02 18:45:00,0.15205,0.15205
