generation,solution,fitness
1,"[36.58724205172831, 52.58368802127754, 0.008349361666176724, 56.5349885894776, 10.713180029649251]",[35.8070270229879]
1,"[33.01572454245677, 13.596995430569976, 25.225933074142485, 57.95151211346005, 39.33362158224506]",[29.016061133034192]
1,"[36.611139658436244, 50.02102352896344, 14.925014230400773, 65.17176154586419, 1.99929430344861]",[35.8070270229879]
1,"[39.375142611962424, 30.46325057280027, 40.784357476539874, 54.10580407892851, 14.461408703196152]",[29.016061133034192]
1,"[40.8081902554309, 70.68309502751602, 22.879965005624726, 62.38483923503971, 63.976408117610795]",[35.8070270229879]
1,"[41.84067329854232, 6.208227429993787, 2.8509991760004123, 54.547456293468535, 64.10440275034716]",[35.8070270229879]
1,"[33.08181517216355, 30.740856625368806, 69.92593570098664, 59.99747927459526, 50.507029318384554]",[28.25378313194824]
1,"[35.47067194106669, 50.11456772075561, 60.92767404850822, 52.27432416016288, 54.76053499098263]",[35.8070270229879]
1,"[42.87747197797144, 54.616092769728276, 20.47241142070158, 63.83918992677233, 7.535498480167868]",[35.8070270229879]
2,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
2,"[33.01572454245677, 56.91303777026127, 25.225933074142485, 57.95151211346005, 39.33362158224506]",[24.807027022987903]
2,"[33.08181517216355, 30.740856625368806, 69.92593570098664, 59.99747927459526, 50.507029318384554]",[28.25378313194824]
2,"[33.01572454245677, 13.596995430569976, 25.225933074142485, 57.95151211346005, 39.33362158224506]",[29.016061133034192]
2,"[39.375142611962424, 30.46325057280027, 40.784357476539874, 54.10580407892851, 14.461408703196152]",[29.016061133034192]
2,"[40.8081902554309, 70.68309502751602, 34.91224487746452, 62.38483923503971, 63.976408117610795]",[35.565928435802505]
2,"[33.08181517216355, 30.740856625368806, 69.92593570098664, 53.41347893065665, 8.312101586444191]",[35.565928435802505]
2,"[33.08181517216355, 30.740856625368806, 69.92593570098664, 60.21048192717842, 47.555632480341146]",[35.565928435802505]
2,"[36.58724205172831, 52.58368802127754, 0.008349361666176724, 56.5349885894776, 10.713180029649251]",[35.8070270229879]
3,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
3,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 54.23376634757333]",[22.488645431799306]
3,"[33.01572454245677, 56.91303777026127, 25.225933074142485, 57.95151211346005, 39.33362158224506]",[24.807027022987903]
3,"[33.01662444410433, 55.12005677668523, 25.225933074142485, 53.328049364942785, 39.33362158224506]",[24.807027022987903]
3,"[33.08181517216355, 30.740856625368806, 69.92593570098664, 59.99747927459526, 50.507029318384554]",[28.25378313194824]
3,"[33.08181517216355, 30.740856625368806, 66.69012430347027, 59.99747927459526, 50.507029318384554]",[28.25378313194824]
3,"[33.01572454245677, 13.596995430569976, 25.225933074142485, 57.95151211346005, 39.33362158224506]",[29.016061133034192]
3,"[39.375142611962424, 30.46325057280027, 40.784357476539874, 54.10580407892851, 14.461408703196152]",[29.016061133034192]
3,"[32.651111470771454, 13.596995430569976, 25.225933074142485, 57.95151211346005, 39.33362158224506]",[29.016061133034192]
4,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
4,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 54.23376634757333]",[22.488645431799306]
4,"[39.49964033499766, 30.95160043538567, 40.784357476539874, 60.28832773847346, 54.23376634757333]",[22.488645431799306]
4,"[33.01572454245677, 56.91303777026127, 25.225933074142485, 57.95151211346005, 39.33362158224506]",[24.807027022987903]
4,"[33.01662444410433, 55.12005677668523, 25.225933074142485, 53.328049364942785, 39.33362158224506]",[24.807027022987903]
4,"[39.5469731665079, 31.222281976566013, 25.136041240517045, 60.28254594328646, 50.13236634110039]",[24.807027022987903]
4,"[33.08181517216355, 30.740856625368806, 69.92593570098664, 59.99747927459526, 50.507029318384554]",[28.25378313194824]
4,"[33.08181517216355, 30.740856625368806, 66.69012430347027, 59.99747927459526, 50.507029318384554]",[28.25378313194824]
4,"[33.08181517216355, 30.765710597820878, 66.69012430347027, 59.99169747940825, 50.507029318384554]",[28.25378313194824]
