generation,solution,fitness
1,"[34.733611401815025, 32.84820573670807, 29.998678618747476, 55.904495363303496, 63.53888524932731]",[1195.180671759369]
1,"[34.035439198780956, 1.4352840563932128, 69.58739829977098, 62.20676207096559, 35.52093323818853]",[1193.820151117087]
1,"[42.615295018525494, 28.718107955879237, 5.807702703943279, 57.271111366206945, 11.945366870171954]",[1193.5697174758304]
1,"[42.81483503137287, 64.28585744771262, 36.06663317214413, 58.014388616777175, 32.94427679963972]",[1195.3910906815938]
1,"[39.92964533354286, 18.08708476387956, 45.46293652550302, 54.136732237981434, 14.685868620449778]",[1193.86926248243]
1,"[32.893395023935604, 69.60347752106618, 4.068893683878442, 60.99304725183153, 52.77882702602422]",[1192.8140802172109]
1,"[42.67318691301304, 59.97457039108835, 38.511227923073356, 56.972150943155015, 25.84070027812832]",[1195.0456620956547]
1,"[32.86933331383659, 40.58174977105318, 12.10299579095093, 56.42856746561337, 61.36441941658065]",[1193.757671268355]
1,"[35.98818210355039, 24.879420359155038, 51.85932732780681, 52.475616272931234, 34.484314221235465]",[1194.829792496801]
2,"[34.15974423323503, 29.75341982964057, 69.58739829977098, 62.20676207096559, 11.558033040312125]",[1192.4047674710187]
2,"[32.893395023935604, 69.60347752106618, 4.068893683878442, 60.99304725183153, 52.77882702602422]",[1192.8140802172109]
2,"[32.893395023935604, 66.28275576466125, 4.068893683878442, 57.0373225658473, 7.499110754684246]",[1193.1829103491452]
2,"[32.86933331383659, 0.8813476828625859, 12.10299579095093, 57.028036671372355, 35.876556939456925]",[1193.566159869109]
2,"[42.615295018525494, 28.718107955879237, 5.807702703943279, 57.271111366206945, 11.945366870171954]",[1193.5697174758304]
2,"[42.615295018525494, 28.718107955879237, 10.02505969634105, 57.271111366206945, 11.945366870171954]",[1193.6823801196663]
2,"[32.86933331383659, 40.58174977105318, 12.10299579095093, 56.42856746561337, 61.36441941658065]",[1193.757671268355]
2,"[42.82249199757499, 40.59206191144765, 14.346821794565376, 56.431785121248645, 6.2337551695021105]",[1193.777963195723]
2,"[34.035439198780956, 1.4352840563932128, 69.58739829977098, 62.20676207096559, 35.52093323818853]",[1193.820151117087]
3,"[33.54352166260123, 29.75341982964057, 69.58739829977098, 62.20676207096559, 7.434908053093498]",[1192.4014936417132]
3,"[34.15974423323503, 29.75341982964057, 69.58739829977098, 62.20676207096559, 11.558033040312125]",[1192.4047674710187]
3,"[32.893395023935604, 66.28275576466125, 4.068893683878442, 57.0373225658473, 11.622235741905563]",[1192.7827119539838]
3,"[34.15974423323503, 67.97642798389921, 68.643382184122, 62.18025110514903, 10.670992018176133]",[1192.805017756219]
3,"[32.893395023935604, 69.60347752106618, 4.068893683878442, 60.99304725183153, 52.77882702602422]",[1192.8140802172109]
3,"[32.893395023935604, 69.60347752106618, 4.068893683878442, 57.29174708887338, 52.77882702602422]",[1192.814080217211]
3,"[32.893395023935604, 66.28275576466125, 4.068893683878442, 57.0373225658473, 8.20452960783104]",[1193.0319692794383]
3,"[32.893395023935604, 66.28275576466125, 4.068893683878442, 57.0373225658473, 7.499110754684246]",[1193.1829103491452]
3,"[32.86933331383659, 0.8813476828625859, 12.10299579095093, 57.028036671372355, 35.876556939456925]",[1193.566159869109]
4,"[34.187926406207545, 29.75341982964057, 69.58739829977098, 62.20676207096559, 7.434908053093498]",[1192.286006220181]
4,"[33.54352166260123, 29.75341982964057, 69.58739829977098, 62.20676207096559, 7.434908053093498]",[1192.4014936417132]
4,"[33.49789295535582, 29.75341982964057, 69.73805394713253, 62.67382093836153, 7.434908053093498]",[1192.4014936417132]
4,"[34.15974423323503, 29.75341982964057, 69.58739829977098, 62.20676207096559, 11.558033040312125]",[1192.4047674710187]
4,"[33.54352166260123, 63.85208850085725, 69.58739829977098, 57.02251658058588, 7.660191434891901]",[1192.4744558019754]
4,"[33.515339489628744, 29.75341982964057, 69.58739829977098, 62.20676207096559, 11.558033040312125]",[1192.5220375028084]
4,"[32.893395023935604, 66.28275576466125, 4.068893683878442, 57.0373225658473, 11.622235741905563]",[1192.7827119539838]
4,"[34.15974423323503, 67.97642798389921, 68.643382184122, 62.18025110514903, 10.670992018176133]",[1192.805017756219]
4,"[33.54352166260123, 33.14788821193471, 69.58739829977098, 62.20676207096559, 7.434908053093498]",[1192.8077866471317]
5,"[33.515339489628744, 37.44934502893928, 69.58739829977098, 56.863175796444615, 11.558033040312125]",[1191.9950320107112]
5,"[34.187926406207545, 29.75341982964057, 69.58739829977098, 62.20676207096559, 7.434908053093498]",[1192.286006220181]
5,"[34.15974423323503, 29.75341982964057, 69.58739829977098, 62.20676207096559, 7.211962443883069]",[1192.286006220181]
5,"[34.1930578079124, 29.75341982964057, 69.73805394713253, 62.189527779895776, 7.434908053093498]",[1192.286006220181]
5,"[33.54352166260123, 29.75341982964057, 69.58739829977098, 62.20676207096559, 7.434908053093498]",[1192.4014936417132]
5,"[33.49789295535582, 29.75341982964057, 69.73805394713253, 62.67382093836153, 7.434908053093498]",[1192.4014936417132]
5,"[33.97640374951061, 29.75341982964057, 69.58739829977098, 62.69105522943135, 7.434908053093498]",[1192.4014936417132]
5,"[33.54352166260123, 29.75341982964057, 69.58739829977098, 60.888662716808774, 7.434908053093498]",[1192.4014936417132]
5,"[33.53924377381538, 29.75341982964057, 69.58739829977098, 62.20676207096559, 7.434908053093498]",[1192.4014936417132]
6,"[33.51588996434924, 37.07442048965602, 72.20341296948264, 63.43625649490127, 7.434908053093498]",[1191.6295641824283]
6,"[34.15974423323503, 29.75341982964057, 70.2545283610286, 62.20676207096559, 10.773441965181888]",[1191.9775942782765]
6,"[33.515339489628744, 37.44934502893928, 69.58739829977098, 56.863175796444615, 11.558033040312125]",[1191.9950320107112]
6,"[34.203492281164614, 37.64330414449622, 69.58739829977098, 62.03727945927055, 11.47699605499302]",[1192.080111140648]
6,"[33.497342480635325, 30.12834436892383, 69.58739829977098, 56.863175796444615, 11.558033040312125]",[1192.1053914322433]
6,"[32.55676145112903, 29.559460714083635, 69.58739829977098, 56.467612634853424, 12.274271661464098]",[1192.2200751755886]
6,"[34.187926406207545, 29.75341982964057, 69.58739829977098, 62.20676207096559, 7.434908053093498]",[1192.286006220181]
6,"[34.15974423323503, 29.75341982964057, 69.58739829977098, 62.20676207096559, 7.211962443883069]",[1192.286006220181]
6,"[34.1930578079124, 29.75341982964057, 69.73805394713253, 62.189527779895776, 7.434908053093498]",[1192.286006220181]
7,"[33.51588996434924, 37.4439830114818, 72.18778504105265, 56.86664457017594, 11.45541497545304]",[1191.2717035452667]
7,"[34.18922605481016, 37.07442048965602, 72.20341296948264, 63.43625649490127, 13.64687016574661]",[1191.4511578291142]
7,"[33.497342480635325, 28.893505006125974, 71.01130126341566, 57.652711274951045, 11.558033040312125]",[1191.4744341922071]
7,"[33.51588996434924, 37.07442048965602, 72.20341296948264, 63.43625649490127, 7.434908053093498]",[1191.6295641824283]
7,"[33.497342480635325, 29.762630616557377, 70.26815857437093, 56.64670688907541, 10.766026565971995]",[1191.6836662395008]
7,"[32.5486945888145, 29.559460714083635, 70.2083222824544, 56.467612634853424, 12.369941348071759]",[1191.832361452741]
7,"[34.15974423323503, 29.75341982964057, 70.2545283610286, 62.20676207096559, 10.773441965181888]",[1191.9775942782765]
7,"[33.515339489628744, 37.44934502893928, 69.58739829977098, 56.863175796444615, 11.558033040312125]",[1191.9950320107112]
7,"[33.530156190703714, 37.64330414449622, 69.58739829977098, 62.03727945927055, 11.388225398355381]",[1192.0801111406477]
8,"[33.51588996434924, 37.4439830114818, 72.18778504105265, 56.86664457017594, 11.45541497545304]",[1191.2717035452667]
8,"[32.52047493905711, 31.064430256497268, 72.75907325453556, 53.925440449531884, 13.64687016574661]",[1191.355270336276]
8,"[33.51728913071079, 29.671519972323118, 72.21034191991134, 56.64236111056414, 11.458865115864004]",[1191.3788469667988]
8,"[34.18922605481016, 37.07442048965602, 72.20341296948264, 63.43625649490127, 13.64687016574661]",[1191.4511578291142]
8,"[33.51588996434924, 32.12047577983638, 72.18778504105265, 56.86664457017594, 13.762705966179196]",[1191.4636857578082]
8,"[33.497342480635325, 28.893505006125974, 71.01130126341566, 57.652711274951045, 11.558033040312125]",[1191.4744341922071]
8,"[33.51588996434924, 37.07442048965602, 72.20341296948264, 63.43625649490127, 7.434908053093498]",[1191.6295641824283]
8,"[33.497342480635325, 29.762630616557377, 70.26815857437093, 56.64670688907541, 10.766026565971995]",[1191.6836662395008]
8,"[34.217463542631194, 37.14572472928332, 70.2083222824544, 63.41326131666836, 12.369941348071759]",[1191.7410454594954]
9,"[33.51588996434924, 37.4439830114818, 72.18778504105265, 56.86664457017594, 11.45541497545304]",[1191.2717035452667]
9,"[33.51588996434924, 36.58446516189731, 72.18778504105265, 56.86664457017594, 11.48345609986172]",[1191.2717035452667]
9,"[32.52047493905711, 31.064430256497268, 72.75907325453556, 53.925440449531884, 13.64687016574661]",[1191.355270336276]
9,"[34.158252172865154, 31.064430256497268, 72.20415184519987, 53.925440449531884, 13.64687016574661]",[1191.355270336276]
9,"[33.51588996434924, 40.165600150141, 72.18778504105265, 56.86664457017594, 13.734664841770517]",[1191.355270336276]
9,"[33.51728913071079, 29.671519972323118, 72.21034191991134, 56.64236111056414, 11.458865115864004]",[1191.3788469667988]
9,"[32.55145956954287, 37.07442048965602, 72.7583339820607, 63.43625649490127, 13.64687016574661]",[1191.451157829114]
9,"[34.18922605481016, 37.07442048965602, 72.20341296948264, 63.43625649490127, 13.64687016574661]",[1191.4511578291142]
9,"[32.531430532615516, 31.267466137732654, 72.16692465034576, 56.86664457017594, 11.45541497545304]",[1191.4553470313501]
10,"[33.51588996434924, 37.4439830114818, 72.18778504105265, 56.86664457017594, 11.45541497545304]",[1191.2717035452667]
10,"[33.51588996434924, 36.58446516189731, 72.18778504105265, 56.86664457017594, 11.48345609986172]",[1191.2717035452667]
10,"[33.51588996434924, 36.642581368548186, 72.18778504105265, 57.1537795254019, 11.48345609986172]",[1191.2717035452667]
10,"[32.52047493905711, 31.006314049846385, 72.85312090445429, 54.949605221855265, 12.449143830548008]",[1191.3058632240607]
10,"[32.52047493905711, 31.064430256497268, 72.75907325453556, 53.925440449531884, 13.64687016574661]",[1191.355270336276]
10,"[34.158252172865154, 31.064430256497268, 72.20415184519987, 53.925440449531884, 13.64687016574661]",[1191.355270336276]
10,"[33.51588996434924, 40.165600150141, 72.18778504105265, 56.86664457017594, 13.734664841770517]",[1191.355270336276]
10,"[34.15133468827054, 31.064430256497268, 72.20415184519987, 53.925440449531884, 13.734446199130604]",[1191.355270336276]
10,"[33.52280744894387, 40.165600150141, 72.18778504105265, 56.86664457017594, 13.647088808386522]",[1191.355270336276]
11,"[33.51588996434924, 37.4439830114818, 72.18778504105265, 56.86664457017594, 11.45541497545304]",[1191.2717035452667]
11,"[33.51588996434924, 36.58446516189731, 72.18778504105265, 56.86664457017594, 11.48345609986172]",[1191.2717035452667]
11,"[33.51588996434924, 36.642581368548186, 72.18778504105265, 57.1537795254019, 11.48345609986172]",[1191.2717035452667]
11,"[33.788958316810835, 36.58248895940082, 72.18778504105265, 56.86664457017594, 11.483355362627787]",[1191.2717035452667]
11,"[33.69060822787961, 36.77276441646385, 72.18598424204147, 56.40906533106135, 11.48345609986172]",[1191.2717035452667]
11,"[33.63236495523149, 40.126265734932986, 72.18778504105265, 57.1537795254019, 11.48345609986172]",[1191.2717035452667]
11,"[33.51588996434924, 37.959713289918604, 72.18778504105265, 56.824350627792015, 11.48345609986172]",[1191.2717035452667]
11,"[32.52047493905711, 31.006314049846385, 72.85312090445429, 54.949605221855265, 12.449143830548008]",[1191.3058632240607]
11,"[32.25551263542725, 31.05479699842921, 72.94893443764272, 54.949605221855265, 12.449143830548008]",[1191.3058632240607]
12,"[33.51588996434924, 37.4439830114818, 72.18778504105265, 56.86664457017594, 11.45541497545304]",[1191.2717035452667]
12,"[33.51588996434924, 36.58446516189731, 72.18778504105265, 56.86664457017594, 11.48345609986172]",[1191.2717035452667]
12,"[33.51588996434924, 36.642581368548186, 72.18778504105265, 57.1537795254019, 11.48345609986172]",[1191.2717035452667]
12,"[33.788958316810835, 36.58248895940082, 72.18778504105265, 56.86664457017594, 11.483355362627787]",[1191.2717035452667]
12,"[33.69060822787961, 36.77276441646385, 72.18598424204147, 56.40906533106135, 11.48345609986172]",[1191.2717035452667]
12,"[33.63236495523149, 40.126265734932986, 72.18778504105265, 57.1537795254019, 11.48345609986172]",[1191.2717035452667]
12,"[33.51588996434924, 37.959713289918604, 72.18778504105265, 56.824350627792015, 11.48345609986172]",[1191.2717035452667]
12,"[33.767895629197, 37.959713289918604, 72.18778504105265, 56.81845951064616, 11.483449583084491]",[1191.2717035452667]
12,"[33.51588996434924, 36.642581368548186, 72.18778504105265, 56.87648203427848, 11.455791087357305]",[1191.2717035452667]
