iter,grad
1,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
2,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
3,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
4,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
5,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
6,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
6,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
7,"[ 1.14233058e-01 -2.27373675e-13 -2.27373675e-13 -3.61472914e-01
 -2.27373675e-13]"
