iter,grad
1,[ 0.01412548  0.          0.         -0.07757239 -0.18074961]
2,"[ 1.27007813e-01 -2.27373675e-13  0.00000000e+00 -7.58603919e-02
 -1.77885612e-01]"
3,"[ 1.15143813e-01 -2.27373675e-13  0.00000000e+00  0.00000000e+00
 -1.96201724e-01]"
4,"[ 0.00000000e+00  0.00000000e+00 -2.27373675e-13  0.00000000e+00
  8.91755491e-02]"
5,[0.         0.         0.         0.         0.03551968]
6,[0.10847181 0.         0.         0.         0.03082273]
7,"[ 1.28303813e-01  0.00000000e+00  0.00000000e+00 -2.27373675e-13
 -9.51012995e-02]"
8,[0.10847181 0.         0.         0.         0.03082273]
9,[0.10847181 0.         0.         0.         0.03082273]
10,[0.10847181 0.         0.         0.         0.03082273]
11,[0.10847181 0.         0.         0.         0.03082273]
12,[0.10847181 0.         0.         0.         0.03082273]
13,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
14,[0.10847181 0.         0.         0.         0.03082273]
