iter,grad
1,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
2,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
3,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
4,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
5,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
6,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
7,[-0.42090341 -0.63032264  0.          0.65498673 -0.32028058]
