iter,grad
1,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
2,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
3,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
4,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
5,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
6,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
7,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
7,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
8,[ 0.89058077 -0.02410986 -0.02410986  1.07589014 -0.02410986]
