generation,solution,fitness
1,"[32.446699346754414, 37.198205695750346, 64.96257320284913, 52.11674062724447, 71.78952996015425]",[35.565928435802505]
1,"[36.40625501245502, 69.25607567774954, 44.116748986233105, 59.03272746118455, 52.82609384862667]",[33.71283469971763]
1,"[41.26445232532082, 14.097113506165387, 0.7234613162962926, 58.62954748077866, 25.78423349222395]",[35.8070270229879]
1,"[42.76964973374105, 59.32663848448934, 21.45219050868956, 65.37631228684151, 7.11529272779915]",[35.8070270229879]
1,"[35.43741457569004, 41.45229992123256, 11.49014878151104, 64.81792269223537, 48.66046665112137]",[29.016061133034192]
1,"[39.05515831982836, 6.931726078388866, 38.90548120233148, 53.83946240532666, 33.47379004292403]",[29.016061133034192]
1,"[33.58853513178134, 20.517074404543195, 25.735452425526994, 56.17362267152465, 13.273925124466878]",[35.8070270229879]
1,"[40.21870731884784, 49.277102290188765, 53.63886509992118, 62.84519854428113, 22.269557614560796]",[35.8070270229879]
1,"[37.02948536586459, 29.335751961468226, 62.4752273091208, 60.80400839634208, 63.34072157204684]",[46.565928435802505]
2,"[34.64669934675442, 40.78369552162571, 50.36257320284913, 55.11674062724447, 63.952758543823506]",[24.807027022987903]
2,"[36.40625501245502, 69.25607567774954, 44.116748986233105, 59.03272746118455, 52.82609384862667]",[33.71283469971763]
2,"[41.077410186710964, 28.697113506165387, 15.323461316296294, 61.62954748077866, 40.384233492223956]",[29.016061133034192]
2,"[42.76964973374105, 59.32663848448934, 21.45219050868956, 65.37631228684151, 7.11529272779915]",[35.8070270229879]
2,"[35.43741457569004, 41.45229992123256, 11.49014878151104, 64.81792269223537, 48.66046665112137]",[29.016061133034192]
2,"[39.05515831982836, 6.931726078388866, 38.90548120233148, 53.83946240532666, 33.47379004292403]",[29.016061133034192]
2,"[33.58853513178134, 20.517074404543195, 25.735452425526994, 56.17362267152465, 13.273925124466878]",[35.8070270229879]
2,"[40.31048503072272, 45.37968734148488, 46.08376581493686, 65.84519854428113, 36.8695576145608]",[25.813255292307776]
2,"[36.15655435335253, 42.86344822208113, 56.40154744245452, 63.80400839634208, 52.77986652584497]",[25.813255292307776]
3,"[34.64669934675442, 40.78369552162571, 50.36257320284913, 55.11674062724447, 63.952758543823506]",[24.807027022987903]
3,"[36.40625501245502, 69.25607567774954, 44.116748986233105, 59.03272746118455, 52.82609384862667]",[33.71283469971763]
3,"[38.87741018671096, 43.29711350616539, 29.923461316296297, 60.501269837418064, 47.21229839195278]",[22.712834699717632]
3,"[38.36964973374104, 46.06022526365124, 37.55984174426737, 63.28244066006022, 30.494409010020043]",[26.56592843580244]
3,"[33.97412968526727, 43.35529286112952, 26.09014878151104, 61.81792269223537, 58.930886938286136]",[24.56592843580251]
3,"[36.66228532949331, 34.264631892296336, 38.90548120233148, 53.83946240532666, 46.28426094572552]",[22.31526299110696]
