generation,solution,fitness
1,"[34.57213827628242, 21.176475272489565, 32.35653904910424, 53.82436337263456, 15.481785843845806]",[1193.964334031515]
1,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
1,"[37.56301102869317, 54.39951262956014, 46.00083202088845, 55.87913590653827, 26.341851039005483]",[1195.3088184925914]
1,"[35.92140339100174, 1.7064306195552852, 56.0379949419384, 61.17596615882903, 72.53313450208722]",[1192.6942303530234]
1,"[33.772798032715436, 36.9742525999715, 57.68862162873824, 64.74847497907987, 55.8282342000872]",[1195.419136165255]
1,"[33.04745461082431, 26.267747098291615, 3.0966757086569934, 63.498128873128685, 39.87335590595614]",[1193.0785687044804]
1,"[38.47659328377219, 64.29870005949043, 66.33380174131155, 57.489596288072505, 64.22905989034903]",[1195.4836063275438]
1,"[41.67408723834032, 64.99725675215713, 37.51980354553369, 66.38226308822185, 42.07395906557804]",[1195.4126745834465]
1,"[39.39780729430862, 8.224658037881158, 10.111488052899695, 59.70623402411514, 7.433827520110797]",[1193.7687851353908]
2,"[34.57213827628242, 21.176475272489565, 32.35653904910424, 53.82436337263456, 15.481785843845806]",[1193.964334031515]
2,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
2,"[37.56301102869317, 54.39951262956014, 46.00083202088845, 55.87913590653827, 26.341851039005483]",[1195.3088184925914]
2,"[35.67663541083183, 1.7064306195552852, 56.0379949419384, 63.147155385100604, 72.68582449557461]",[1192.6942303530232]
2,"[35.16499309423837, 22.3742525999715, 63.30302795877508, 64.86630261732465, 70.4282342000872]",[1192.658716573543]
2,"[35.24745461082431, 11.667747098291613, 17.696675708656993, 64.29087762359799, 54.47335590595614]",[1192.754134048832]
2,"[39.42958148735059, 66.61874502356301, 64.66199347529442, 60.489596288072505, 68.9983769041147]",[1195.3394041888876]
2,"[41.67408723834032, 64.99725675215713, 37.51980354553369, 66.38226308822185, 42.07395906557804]",[1195.4126745834465]
2,"[37.19780729430862, 8.412321925460136, 24.711488052899696, 62.691618721600825, 22.033827520110798]",[1193.3990117451633]
3,"[34.57213827628242, 21.176475272489565, 32.35653904910424, 53.82436337263456, 15.481785843845806]",[1193.964334031515]
3,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
3,"[36.41424038520904, 49.43002272820775, 68.17328754464138, 59.21624468096698, 49.51335731764307]",[1195.1135742928377]
3,"[35.59989428129406, 16.306430619555286, 67.39422208811817, 64.13280151653848, 72.83403996936232]",[1192.0596425801925]
3,"[35.16499309423837, 22.3742525999715, 63.30302795877508, 64.86630261732465, 70.4282342000872]",[1192.658716573543]
3,"[36.04571204617482, 12.716641471938523, 32.29667570865699, 64.60054662450912, 69.07335590595613]",[1192.4245027398636]
3,"[37.88715475944048, 52.01874502356301, 62.13544846303509, 63.489596288072505, 71.51250039058799]",[1193.913281165769]
3,"[39.97149625336037, 35.797256752157125, 54.747602167735145, 65.64707049942776, 62.58848872327369]",[1195.377024981275]
3,"[37.19780729430862, 8.412321925460136, 24.711488052899696, 62.691618721600825, 22.033827520110798]",[1193.3990117451633]
4,"[34.57213827628242, 21.176475272489565, 32.35653904910424, 53.82436337263456, 15.481785843845806]",[1193.964334031515]
4,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
4,"[35.55186424182693, 34.83002272820775, 70.40575254520367, 62.21624468096698, 60.37034248759604]",[1194.535955602639]
4,"[35.59989428129406, 16.306430619555286, 67.39422208811817, 64.13280151653848, 72.83403996936232]",[1192.0596425801925]
4,"[35.50366696603227, 15.081253942274827, 69.47107903087337, 63.79233902012547, 72.44334560687383]",[1191.8151247283467]
4,"[36.24778454974645, 15.232382703691915, 46.89667570865699, 64.53381468303023, 70.5800073367834]",[1191.8334468731427]
4,"[37.88715475944048, 52.01874502356301, 62.13544846303509, 63.489596288072505, 71.51250039058799]",[1193.913281165769]
4,"[37.77149625336037, 21.197256752157124, 67.23772772175698, 64.61922403840703, 68.27947194902097]",[1193.351560713574]
4,"[37.19780729430862, 8.412321925460136, 24.711488052899696, 62.691618721600825, 22.033827520110798]",[1193.3990117451633]
5,"[34.57213827628242, 21.176475272489565, 32.35653904910424, 53.82436337263456, 15.481785843845806]",[1193.964334031515]
5,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
5,"[35.22099019894349, 20.23002272820775, 70.82074217993424, 64.10252089580699, 71.20105715750182]",[1192.340040201011]
5,"[35.58152353332208, 17.059427991924696, 70.08980226745331, 63.83823222376577, 72.43779795890063]",[1191.9380307211009]
5,"[35.50366696603227, 13.730952459476931, 59.90105205286048, 63.79233902012547, 72.86299803828598]",[1191.5702114412386]
5,"[35.86977534167122, 16.00977431847753, 55.59801819914978, 64.08977272945583, 71.40725805397594]",[1191.5471523056046]
5,"[36.438360088042266, 22.818745023563004, 65.58754372494714, 63.06835908813533, 72.36394573234575]",[1192.182465216974]
5,"[35.571496253360365, 14.506027092704533, 72.73785044816529, 63.04557502207119, 70.59047163966576]",[1191.7259331792613]
5,"[37.19780729430862, 8.412321925460136, 24.711488052899696, 62.691618721600825, 22.033827520110798]",[1193.3990117451633]
6,"[34.57213827628242, 21.176475272489565, 32.35653904910424, 53.82436337263456, 15.481785843845806]",[1193.964334031515]
6,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
6,"[35.31618979421127, 12.304023989520125, 69.69824733407677, 64.77380599546821, 72.88839103702756]",[1191.8059068883917]
6,"[35.93150294504803, 15.790948065432463, 69.06930755874859, 63.89364158102273, 72.12628024338684]",[1191.8151247283467]
6,"[35.554294066990046, 15.3178287000122, 56.407452109622724, 63.742474265141375, 72.5491509759955]",[1191.4925121305457]
6,"[35.86977534167122, 16.00977431847753, 55.59801819914978, 64.08977272945583, 71.40725805397594]",[1191.5471523056046]
6,"[35.90237842425223, 8.218745023563002, 58.24273485292057, 62.52487211760756, 72.10458325489414]",[1191.5219074246618]
6,"[34.994327814659876, 12.916844438942363, 63.671432551655286, 63.38261508524804, 71.63837047157145]",[1191.7216470472695]
6,"[35.332231795171936, 11.641860938401429, 43.50763084063716, 64.24176895863143, 31.317505470695274]",[1192.754134048832]
7,"[34.57213827628242, 21.176475272489565, 32.35653904910424, 53.82436337263456, 15.481785843845806]",[1193.964334031515]
7,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
7,"[35.36969118381585, 14.225115345043704, 55.09824733407677, 63.93623182129901, 72.97223260646277]",[1191.4068805814604]
7,"[35.69661805454045, 14.671928352020567, 54.46930755874859, 63.69605941177578, 72.05430293527402]",[1191.4068805814604]
7,"[35.554294066990046, 15.3178287000122, 56.407452109622724, 63.742474265141375, 72.5491509759955]",[1191.4925121305457]
7,"[35.547326710907285, 14.965308596677048, 56.92633090011463, 63.641105406425474, 71.766891974405]",[1191.4068805814604]
7,"[35.90237842425223, 8.218745023563002, 58.24273485292057, 62.52487211760756, 72.10458325489414]",[1191.5219074246618]
7,"[35.70675618498544, 13.167640676752601, 56.06190910082053, 63.906405513212526, 72.75442868117793]",[1191.3552703362761]
7,"[35.332231795171936, 11.641860938401429, 43.50763084063716, 64.24176895863143, 31.317505470695274]",[1192.754134048832]
8,"[34.57213827628242, 21.176475272489565, 32.35653904910424, 53.82436337263456, 15.481785843845806]",[1193.964334031515]
8,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
8,"[35.60167598736387, 13.549086120393426, 49.98293529416651, 63.60731805084078, 72.99275689633347]",[1191.355270336276]
8,"[35.62146193352836, 12.959271882042474, 51.403621931855504, 63.93223000987849, 72.03948648504047]",[1191.3058632240609]
8,"[35.762456480589016, 13.850880640701824, 55.3555827509987, 63.8530667563369, 72.13031491840594]",[1191.355270336276]
8,"[35.545033159010515, 12.194248593050066, 56.706771199783994, 63.83285406074998, 72.98879470427279]",[1191.3058632240609]
8,"[35.90237842425223, 8.218745023563002, 58.24273485292057, 62.52487211760756, 72.10458325489414]",[1191.5219074246618]
8,"[35.70675618498544, 13.167640676752601, 56.06190910082053, 63.906405513212526, 72.75442868117793]",[1191.3552703362761]
8,"[35.332231795171936, 11.641860938401429, 43.50763084063716, 64.24176895863143, 31.317505470695274]",[1192.754134048832]
9,"[34.57213827628242, 21.176475272489565, 32.35653904910424, 53.82436337263456, 15.481785843845806]",[1193.964334031515]
9,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
9,"[35.60167598736387, 13.549086120393426, 49.98293529416651, 63.60731805084078, 72.99275689633347]",[1191.355270336276]
9,"[35.62146193352836, 12.959271882042474, 51.403621931855504, 63.93223000987849, 72.03948648504047]",[1191.3058632240609]
9,"[35.605554280986745, 12.070159904430344, 53.308511931669905, 63.88592839316611, 71.76795373414559]",[1191.3058632240609]
9,"[35.57959989125995, 11.843166846064445, 49.462630240764526, 64.05180091570666, 72.76827123944125]",[1191.2717035452667]
9,"[35.90237842425223, 8.218745023563002, 58.24273485292057, 62.52487211760756, 72.10458325489414]",[1191.5219074246618]
9,"[35.80249832313893, 13.05378046258167, 52.35895732780313, 64.00896568449424, 71.94062144280218]",[1191.355270336276]
9,"[35.332231795171936, 11.641860938401429, 43.50763084063716, 64.24176895863143, 31.317505470695274]",[1192.754134048832]
10,"[35.3077307171522, 14.228543377002811, 36.764659629146195, 55.7672760631677, 44.17064087908008]",[1193.8692624824298]
10,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
10,"[35.67758929175315, 12.74891409790268, 49.111591492538686, 63.81256844499182, 72.95651337036368]",[1191.3058632240609]
10,"[35.54097288876869, 11.513810382648, 48.10179673773493, 64.11552266175936, 72.183463163981]",[1191.2717035452667]
10,"[35.526204156256455, 11.04029588300942, 48.166030253674045, 63.99005252508146, 72.57040435834675]",[1191.2717035452667]
10,"[35.57959989125995, 11.843166846064445, 49.462630240764526, 64.05180091570666, 72.76827123944125]",[1191.2717035452667]
10,"[35.65576955189783, 10.283791552638966, 45.13636422374997, 63.782622758220846, 72.17519705749967]",[1191.2370440753718]
10,"[35.51151972035026, 11.618772561439581, 47.65943383248319, 64.05645465235906, 72.58746004701366]",[1191.2717035452667]
10,"[35.332231795171936, 11.641860938401429, 43.50763084063716, 64.24176895863143, 31.317505470695274]",[1192.754134048832]
11,"[35.574167593841764, 13.042918411928806, 44.62700991533392, 58.7672760631677, 58.770640879080084]",[1193.8120442372453]
11,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
11,"[35.67758929175315, 12.74891409790268, 49.111591492538686, 63.81256844499182, 72.95651337036368]",[1191.3058632240609]
11,"[35.54904150199565, 10.729691361600365, 42.45664274158199, 63.83358963409189, 72.22864451487077]",[1191.2370440753716]
11,"[35.526204156256455, 11.04029588300942, 48.166030253674045, 63.99005252508146, 72.57040435834675]",[1191.2717035452667]
11,"[35.70258451511569, 10.980716809899542, 43.402389512397846, 63.9280671037155, 71.70160981316994]",[1191.2370440753718]
11,"[35.65576955189783, 10.283791552638966, 45.13636422374997, 63.782622758220846, 72.17519705749967]",[1191.2370440753718]
11,"[35.51151972035026, 11.618772561439581, 47.65943383248319, 64.05645465235906, 72.58746004701366]",[1191.2717035452667]
11,"[35.332231795171936, 11.641860938401429, 43.50763084063716, 64.24176895863143, 31.317505470695274]",[1192.754134048832]
12,"[35.64522255366288, 10.78637577152969, 47.012081781561214, 60.78900137387001, 64.70923053987977]",[1192.7173865789373]
12,"[42.60972777627838, 40.960608489476805, 16.62285314150649, 52.710936853127855, 19.208431501289407]",[1194.0253982065738]
12,"[35.67758929175315, 12.74891409790268, 49.111591492538686, 63.81256844499182, 72.95651337036368]",[1191.3058632240609]
12,"[35.54904150199565, 10.729691361600365, 42.45664274158199, 63.83358963409189, 72.22864451487077]",[1191.2370440753716]
12,"[35.48170300303576, 10.88231258437492, 44.726515015262486, 63.96601010752554, 72.25526635800298]",[1191.2370440753716]
