Iteration,Buffer Size,Total Dump,Timesteps Checked
1.0,[200.],,2.0
2.0,[176393.20225002],,1973.0
3.0,[223606.79774998],,2479.0
4.0,[252786.40450004],,2789.0
5.0,[270820.39324994],0.0,
6.0,[281966.01125011],0.0,
7.0,[276390.56445854],0.0,
8.0,[263932.02250021],0.0,
9.0,[259674.77524977],,2855.0
10.0,[266563.1459995],0.0,
11.0,[262305.89874905],0.0,
12.0,[261300.89900093],,2869.0
13.0,[262927.02275208],0.0,
14.0,[261922.02300395],,2876.0
15.0,[262543.14700698],0.0,
16.0,[262159.27126188],0.0,
17.0,[262068.65049113],,2877.0
18.0,[262215.2779783],0.0,
19.0,[262124.65720754],,2877.0
20.0,[262180.66392395],0.0,
21.0,[262146.04986961],0.0,
22.0,[262137.87859981],,2877.0
23.0,[262151.09999208],0.0,
24.0,[262142.92872228],0.0,
25.0,[262140.99974714],0.0,
26.0,[262139.80757495],,2877.0
27.0,[262141.73655008],0.0,
28.0,[262140.54437788],,2877.0
29.0,[262141.28118082],0.0,
30.0,[262140.82581156],,2877.0
31.0,[262141.10724524],0.0,
32.0,[262140.93330966],0.0,
33.0,[262140.89224904],0.0,
34.0,[262140.86687218],0.0,
35.0,[262140.85118842],,2877.0
36.0,[262140.87656528],0.0,
37.0,[262140.86088152],0.0,
38.0,[262140.85696298],,2877.0
